28300431|t|The Psychometric Costs of Applicants ' Faking: Examining Measurement Invariance and Retest Correlations Across Response Conditions
28300431|a|This study examines the stability of the response process and the rank-order of respondents responding to 3 personality scales in 4 different response conditions. Applicants to the University College of Teacher Education Styria (N = 243) completed personality scales as part of their college admission process. Half a year later, they retook the same personality scales in 1 of 3 randomly assigned experimental response conditions: honest, faking-good, or reproduce. Longitudinal means and covariance structure analyses showed that applicants ' response processes could be partially reproduced after half a year, and respondents seemed to rely on an honest response behavior as a frame of reference. Additionally, applicants ' faking behavior and instructed faking (faking-good) caused differences in the latent retest correlations and consistently affected measurement properties. The varying latent retest correlations indicated that faking can distort respondents ' rank-order and thus the fairness of subsequent selection decisions, depending on the kind of faking behavior. Instructed faking (faking-good) even affected weak measurement invariance, whereas applicants ' faking behavior did not. Consequently, correlations with personality scales -which can be utilized for predictive validity -may be readily interpreted for applicants. Faking behavior also introduced a uniform bias, implying that the classically observed mean raw score differences may not be readily interpreted.
28300431	4	22	Psychometric Costs	T058	UMLS:C0033920
28300431	26	36	Applicants	T098	UMLS:C0696628
28300431	84	103	Retest Correlations	T062	UMLS:C0237828
28300431	111	130	Response Conditions	T038	UMLS:C0009647
28300431	172	188	response process	T038	UMLS:C0009647
28300431	211	222	respondents	T098	UMLS:C0282122
28300431	223	233	responding	T038	UMLS:C0009647
28300431	239	257	personality scales	T170	UMLS:C0582654
28300431	273	292	response conditions	T038	UMLS:C0009647
28300431	294	304	Applicants	T098	UMLS:C0696628
28300431	312	351	University College of Teacher Education	T092	UMLS:C0041740
28300431	352	358	Styria	T082	UMLS:C0017446
28300431	379	397	personality scales	T170	UMLS:C0582654
28300431	415	440	college admission process	T170	UMLS:C0009352
28300431	482	500	personality scales	T170	UMLS:C0582654
28300431	542	561	response conditions	T038	UMLS:C0009647
28300431	598	616	Longitudinal means	T062	UMLS:C0023981
28300431	663	673	applicants	T098	UMLS:C0696628
28300431	676	694	response processes	T038	UMLS:C0009647
28300431	748	759	respondents	T098	UMLS:C0282122
28300431	788	805	response behavior	T038	UMLS:C0009647
28300431	845	855	applicants	T098	UMLS:C0696628
28300431	943	962	retest correlations	T062	UMLS:C0237828
28300431	1032	1051	retest correlations	T062	UMLS:C0237828
28300431	1052	1061	indicated	T033	UMLS:C1444656
28300431	1086	1097	respondents	T098	UMLS:C0282122
28300431	1147	1166	selection decisions	T038	UMLS:C0011109
28300431	1293	1303	applicants	T098	UMLS:C0696628
28300431	1363	1381	personality scales	T170	UMLS:C0582654
28300431	1461	1471	applicants	T098	UMLS:C0696628
