27715026|t|Therapeutic Delivery of H2S via COS: Small Molecule and Polymeric Donors with Benign Byproducts
27715026|a|Carbonyl sulfide (COS) is a gas that may play important roles in mammalian and bacterial biology, but its study is limited by a lack of suitable donor molecules. We report here the use of N-thiocarboxyanhydrides (NTAs) as COS donors that release the gas in a sustained manner under biologically relevant conditions with innocuous peptide byproducts. Carbonic anhydrase converts COS into H2S, allowing NTAs to serve as either COS or H2S donors, depending on the availability of the enzyme. Analysis of the pseudo-first-order H2S release rate under biologically relevant conditions revealed a release half-life of 75 min for the small molecule NTA under investigation. A polynorbornene bearing pendant NTAs made by ring-opening metathesis polymerization was also synthesized to generate a polymeric COS / H2S donor. A half-life of 280 min was measured for the polymeric donor. Endothelial cell proliferation studies revealed an enhanced rate of proliferation for cells treated with the NTA over untreated controls.
27715026	0	11	Therapeutic	T058	UMLS:C0087111
27715026	24	27	H2S	T103	UMLS:C0020282
27715026	32	35	COS	T103	UMLS:C0054714
27715026	37	51	Small Molecule	T103	UMLS:C1328819
27715026	56	65	Polymeric	T103	UMLS:C0032521
27715026	96	112	Carbonyl sulfide	T103	UMLS:C0054714
27715026	114	117	COS	T103	UMLS:C0054714
27715026	124	127	gas	T103	UMLS:C0017110
27715026	161	170	mammalian	T204	UMLS:C0024660
27715026	175	184	bacterial	T007	UMLS:C0004611
27715026	185	192	biology	T091	UMLS:C0005532
27715026	202	207	study	T062	UMLS:C2603343
27715026	261	267	report	T170	UMLS:C0684224
27715026	284	307	N-thiocarboxyanhydrides	T103	UMLS:C0003030
27715026	309	313	NTAs	T103	UMLS:C0003030
27715026	318	321	COS	T103	UMLS:C0054714
27715026	346	349	gas	T103	UMLS:C0017110
27715026	426	433	peptide	T103	UMLS:C0030956
27715026	446	464	Carbonic anhydrase	T103	UMLS:C0007028
27715026	474	477	COS	T103	UMLS:C0054714
27715026	483	486	H2S	T103	UMLS:C0020282
27715026	497	501	NTAs	T103	UMLS:C0003030
27715026	521	524	COS	T103	UMLS:C0054714
27715026	528	531	H2S	T103	UMLS:C0020282
27715026	577	583	enzyme	T103	UMLS:C0014442
27715026	585	593	Analysis	T062	UMLS:C0936012
27715026	620	623	H2S	T103	UMLS:C0020282
27715026	723	737	small molecule	T103	UMLS:C1328819
27715026	738	741	NTA	T103	UMLS:C0003030
27715026	765	779	polynorbornene	T103	UMLS:C2606633
27715026	796	800	NTAs	T103	UMLS:C0003030
27715026	883	892	polymeric	T103	UMLS:C0032521
27715026	893	896	COS	T103	UMLS:C0054714
27715026	899	902	H2S	T103	UMLS:C0020282
27715026	954	963	polymeric	T103	UMLS:C0032521
27715026	971	1001	Endothelial cell proliferation	T038	UMLS:C1655807
27715026	1002	1009	studies	T062	UMLS:C2603343
27715026	1039	1062	proliferation for cells	T038	UMLS:C0596290
27715026	1080	1083	NTA	T103	UMLS:C0003030
27715026	1089	1098	untreated	T033	UMLS:C0332155
