28115057|t|Optogenetic Demonstration of Functional Innervation of Mouse Colon by Neurons Derived From Transplanted Neural Cells
28115057|a|Cell therapy offers the potential to treat gastrointestinal motility disorders caused by diseased or absent enteric neurons. We examined whether neurons generated from transplanted enteric neural cells provide a functional innervation of bowel smooth muscle in mice. Enteric neural cells expressing the light-sensitive ion channel, channelrhodopsin, were isolated from the fetal or postnatal mouse bowel and transplanted into the distal colon of 3- to 4- week -old wild-type recipient mice. Intracellular electrophysiological recordings of responses to light stimulation of the transplanted cells were made from colonic smooth muscle cells in recipient mice. Electrical stimulation of endogenous enteric neurons was used as a control. The axons of graft -derived neurons formed a plexus in the circular muscle layer. Selective stimulation of graft -derived cells by light resulted in excitatory and inhibitory junction potentials, the electrical events underlying contraction and relaxation, respectively, in colonic muscle cells. Graft -derived excitatory and inhibitory motor neurons released the same neurotransmitters as endogenous motor neurons - acetylcholine and a combination of adenosine triphosphate and nitric oxide, respectively. Graft -derived neurons also included interneurons that provided synaptic inputs to motor neurons, but the pharmacologic properties of interneurons varied with the age of the donors from which enteric neural cells were obtained. Enteric neural cells transplanted into the bowel give rise to multiple functional types of neurons that integrate and provide a functional innervation of the smooth muscle of the bowel wall. Circuits composed of both motor neurons and interneurons were established, but the age at which cells are isolated influences the neurotransmitter phenotype of interneurons that are generated.
28115057	0	11	Optogenetic	T062	UMLS:C3494301
28115057	40	51	Innervation	T038	UMLS:C0021516
28115057	55	60	Mouse	T204	UMLS:C0025929
28115057	61	66	Colon	T017	UMLS:C0009368
28115057	70	77	Neurons	T017	UMLS:C0027882
28115057	104	116	Neural Cells	T017	UMLS:C0027882
28115057	117	129	Cell therapy	T058	UMLS:C0302189
28115057	160	195	gastrointestinal motility disorders	T038	UMLS:C0854121
28115057	206	214	diseased	T017	UMLS:C0027882
28115057	225	232	enteric	T082	UMLS:C1304890
28115057	233	240	neurons	T017	UMLS:C0027882
28115057	262	269	neurons	T017	UMLS:C0027882
28115057	298	305	enteric	T082	UMLS:C1304890
28115057	306	318	neural cells	T017	UMLS:C0027882
28115057	340	351	innervation	T038	UMLS:C0021516
28115057	355	360	bowel	T017	UMLS:C0021853
28115057	361	374	smooth muscle	T017	UMLS:C1267092
28115057	378	382	mice	T204	UMLS:C0025929
28115057	384	391	Enteric	T082	UMLS:C1304890
28115057	392	404	neural cells	T017	UMLS:C0027882
28115057	420	447	light-sensitive ion channel	T103	UMLS:C0022009
28115057	449	465	channelrhodopsin	T103	UMLS:C0033684
28115057	509	514	mouse	T204	UMLS:C0025929
28115057	515	520	bowel	T017	UMLS:C0021853
28115057	547	559	distal colon	T017	UMLS:C1517729
28115057	582	591	wild-type	T017	UMLS:C1883559
28115057	592	606	recipient mice	T204	UMLS:C0025929
28115057	608	621	Intracellular	T082	UMLS:C0178719
28115057	622	653	electrophysiological recordings	T058	UMLS:C0022885
28115057	708	713	cells	T017	UMLS:C0027882
28115057	729	736	colonic	T017	UMLS:C0009368
28115057	737	756	smooth muscle cells	T017	UMLS:C1135918
28115057	760	774	recipient mice	T204	UMLS:C0025929
28115057	813	820	enteric	T082	UMLS:C1304890
28115057	821	828	neurons	T017	UMLS:C0027882
28115057	856	861	axons	T017	UMLS:C0004461
28115057	865	870	graft	T017	UMLS:C0332835
28115057	880	887	neurons	T017	UMLS:C0027882
28115057	897	903	plexus	T017	UMLS:C1184808
28115057	911	932	circular muscle layer	T017	UMLS:C0734812
28115057	959	964	graft	T017	UMLS:C0332835
28115057	974	979	cells	T017	UMLS:C0027882
28115057	1001	1011	excitatory	T038	UMLS:C0234121
28115057	1016	1046	inhibitory junction potentials	T038	UMLS:C0234122
28115057	1081	1092	contraction	T038	UMLS:C0026820
28115057	1097	1107	relaxation	T038	UMLS:C0026836
28115057	1126	1133	colonic	T017	UMLS:C0009368
28115057	1134	1146	muscle cells	T017	UMLS:C1135918
28115057	1148	1153	Graft	T017	UMLS:C0332835
28115057	1163	1173	excitatory	T017	UMLS:C0026609
28115057	1178	1202	inhibitory motor neurons	T017	UMLS:C0026609
28115057	1221	1238	neurotransmitters	T103	UMLS:C0027908
28115057	1253	1266	motor neurons	T017	UMLS:C0026609
28115057	1269	1282	acetylcholine	T103	UMLS:C0001041
28115057	1304	1326	adenosine triphosphate	T103	UMLS:C0001480
28115057	1331	1343	nitric oxide	T103	UMLS:C0028128
28115057	1359	1364	Graft	T017	UMLS:C0332835
28115057	1374	1381	neurons	T017	UMLS:C0027882
28115057	1396	1408	interneurons	T017	UMLS:C0021792
28115057	1448	1455	neurons	T017	UMLS:C0027882
28115057	1493	1505	interneurons	T017	UMLS:C0021792
28115057	1533	1539	donors	T098	UMLS:C0013018
28115057	1551	1558	enteric	T082	UMLS:C1304890
28115057	1559	1571	neural cells	T017	UMLS:C0027882
28115057	1587	1594	Enteric	T082	UMLS:C1304890
28115057	1595	1607	neural cells	T017	UMLS:C0027882
28115057	1630	1635	bowel	T017	UMLS:C0021853
28115057	1678	1685	neurons	T017	UMLS:C0027882
28115057	1726	1737	innervation	T038	UMLS:C0021516
28115057	1745	1758	smooth muscle	T017	UMLS:C1267092
28115057	1766	1776	bowel wall	T017	UMLS:C1283694
28115057	1804	1817	motor neurons	T017	UMLS:C0026609
28115057	1822	1834	interneurons	T017	UMLS:C0021792
28115057	1874	1879	cells	T017	UMLS:C0027882
28115057	1908	1924	neurotransmitter	T103	UMLS:C0027908
28115057	1938	1950	interneurons	T017	UMLS:C0021792
