27350860|t|Comparison of alkaline phosphatase activity of MC3T3-E1 cells cultured on different Ti surfaces: modified sandblasted with large grit and acid-etched (MSLA), laser-treated, and laser and acid-treated Ti surfaces
27350860|a|In this study, the aim of this study was to evaluate the effect of implant surface treatment on cell differentiation of osteoblast cells. For this purpose, three surfaces were compared: (1) a modified SLA (MSLA: sand-blasted with large grit, acid-etched, and immersed in 0.9% NaCl), (2) a laser treatment (LT: laser treatment) titanium surface and (3) a laser and acid-treated (LAT: laser treatment, acid-etched) titanium surface. The MSLA surfaces were considered as the control group, and LT and LAT surfaces as test groups. Alkaline phosphatase expression (ALP) was used to quantify osteoblastic differentiation of MC3T3-E1 cell. Surface roughness was evaluated by a contact profilometer (URFPAK-SV; Mitutoyo, Kawasaki, Japan) and characterized by two parameters: mean roughness (Ra) and maximum peak-to-valley height (Rt). Scanning electron microscope revealed that MSLA (control group) surface was not as rough as LT, LAT surface (test groups). Alkaline phosphatase expression, the measure of osteoblastic differentiation, and total ALP expression by surface-adherent cells were found to be highest at 21 days for all three surfaces tested (P<.05). Furthermore, ALP expression levels of MSLA and LAT surfaces were significantly higher than expression levels of LT surface-adherent cells at 7, 14, and 21 days, respectively (P<.05). However, ALP expression levels between MSLA and LAT surface were equal at 7, 14, and 21 days (P>.05). This study suggested that MSLA and LAT surfaces exhibited more favorable environment for osteoblast differentiation when compared with LT surface, the results that are important for implant surface modification studies.
27350860	14	43	alkaline phosphatase activity	T038	UMLS:C1149888
27350860	47	61	MC3T3-E1 cells	T017	UMLS:C0007600
27350860	84	86	Ti	T103	UMLS:C0040302
27350860	87	95	surfaces	T082	UMLS:C0205148
27350860	129	133	grit	T103	UMLS:C0440273
27350860	151	155	MSLA	T103	UMLS:C0040302
27350860	200	202	Ti	T103	UMLS:C0040302
27350860	203	211	surfaces	T082	UMLS:C0205148
27350860	220	225	study	T062	UMLS:C2603343
27350860	243	248	study	T062	UMLS:C2603343
27350860	256	264	evaluate	T058	UMLS:C0220825
27350860	287	294	surface	T082	UMLS:C0205148
27350860	308	328	cell differentiation	T038	UMLS:C0007589
27350860	332	348	osteoblast cells	T017	UMLS:C0029418
27350860	374	382	surfaces	T082	UMLS:C0205148
27350860	448	452	grit	T103	UMLS:C0440273
27350860	488	492	NaCl	T103	UMLS:C0037494
27350860	539	547	titanium	T103	UMLS:C0040302
27350860	548	555	surface	T082	UMLS:C0205148
27350860	625	633	titanium	T103	UMLS:C0040302
27350860	634	641	surface	T082	UMLS:C0205148
27350860	647	651	MSLA	T103	UMLS:C0040302
27350860	652	660	surfaces	T082	UMLS:C0205148
27350860	703	705	LT	T103	UMLS:C0040302
27350860	710	713	LAT	T103	UMLS:C0040302
27350860	714	722	surfaces	T082	UMLS:C0205148
27350860	739	759	Alkaline phosphatase	T103	UMLS:C0002059
27350860	760	770	expression	T038	UMLS:C1171362
27350860	772	775	ALP	T103	UMLS:C0002059
27350860	798	826	osteoblastic differentiation	T038	UMLS:C1159974
27350860	830	843	MC3T3-E1 cell	T017	UMLS:C0007600
27350860	845	852	Surface	T082	UMLS:C0205148
27350860	867	876	evaluated	T058	UMLS:C0220825
27350860	882	902	contact profilometer	T074	UMLS:C0025080
27350860	935	940	Japan	T082	UMLS:C0022341
27350860	1039	1067	Scanning electron microscope	T074	UMLS:C0262878
27350860	1103	1110	surface	T082	UMLS:C0205148
27350860	1131	1133	LT	T103	UMLS:C0040302
27350860	1135	1138	LAT	T103	UMLS:C0040302
27350860	1139	1146	surface	T082	UMLS:C0205148
27350860	1162	1182	Alkaline phosphatase	T103	UMLS:C0002059
27350860	1183	1193	expression	T038	UMLS:C1171362
27350860	1210	1238	osteoblastic differentiation	T038	UMLS:C1159974
27350860	1250	1253	ALP	T103	UMLS:C0002059
27350860	1254	1264	expression	T038	UMLS:C1171362
27350860	1268	1290	surface-adherent cells	T017	UMLS:C0007634
27350860	1341	1349	surfaces	T082	UMLS:C0205148
27350860	1379	1382	ALP	T103	UMLS:C0002059
27350860	1383	1393	expression	T038	UMLS:C1171362
27350860	1404	1408	MSLA	T103	UMLS:C0040302
27350860	1413	1416	LAT	T103	UMLS:C0040302
27350860	1417	1425	surfaces	T082	UMLS:C0205148
27350860	1457	1467	expression	T038	UMLS:C1171362
27350860	1478	1480	LT	T103	UMLS:C0040302
27350860	1481	1503	surface-adherent cells	T017	UMLS:C0007634
27350860	1558	1561	ALP	T103	UMLS:C0002059
27350860	1562	1572	expression	T038	UMLS:C1171362
27350860	1588	1592	MSLA	T103	UMLS:C0040302
27350860	1597	1600	LAT	T103	UMLS:C0040302
27350860	1601	1608	surface	T082	UMLS:C0205148
27350860	1656	1661	study	T062	UMLS:C2603343
27350860	1677	1681	MSLA	T103	UMLS:C0040302
27350860	1686	1689	LAT	T103	UMLS:C0040302
27350860	1690	1698	surfaces	T082	UMLS:C0205148
27350860	1724	1735	environment	T082	UMLS:C0014406
27350860	1740	1766	osteoblast differentiation	T038	UMLS:C1159974
27350860	1786	1788	LT	T103	UMLS:C0040302
27350860	1789	1796	surface	T082	UMLS:C0205148
27350860	1833	1840	implant	T074	UMLS:C0021102
27350860	1841	1848	surface	T082	UMLS:C0205148
27350860	1862	1869	studies	T062	UMLS:C2603343
