27810802|t|Body Diffusion Weighted Imaging Using Non-CPMG Fast Spin Echo
27810802|a|SS-FSE is a fast technique that does not suffer from off-resonance distortions to the degree that EPI does. Unlike EPI, SS-FSE is ill-suited to diffusion weighted imaging (DWI) due to the Carr-Purcell-Meiboom-Geill (CPMG) condition. Non-CPMG phase cycling does accommodate SS-FSE and DWI but places constraints on reconstruction, which are resolved here through parallel imaging. Additionally, improved echo stability can be achieved by using short duration and highly selective DIVERSE radiofrequency pulses. Here, signal-to-noise ratio (SNR) comparisons between EPI and nCPMG SS-FSE acquisitions and reconstruction techniques give similar values. Diffusion imaging with nCPMG SS-FSE gives similar SNR to an EPI acquisition, though apparent diffusion coefficient values are higher than seen with EPI. In vivo images have good image quality with little distortion. This method has the ability to capture distortion - free DWI images near areas of significant off-resonance as well as preserve adequate SNR. Parallel imaging and DIVERSE refocusing RF pulses allow shorter ETL compared to previous implementations and thus reduces phase encode direction blur and SAR accumulation.
27810802	0	4	Body	T204	UMLS:C0242821
27810802	5	31	Diffusion Weighted Imaging	T058	UMLS:C0598801
27810802	38	61	Non-CPMG Fast Spin Echo	T058	UMLS:C0079595
27810802	62	68	SS-FSE	T058	UMLS:C0079595
27810802	79	88	technique	T058	UMLS:C0079595
27810802	115	128	off-resonance	T033	UMLS:C2828093
27810802	160	163	EPI	T058	UMLS:C0162734
27810802	177	180	EPI	T058	UMLS:C0162734
27810802	182	188	SS-FSE	T058	UMLS:C0079595
27810802	206	232	diffusion weighted imaging	T058	UMLS:C0598801
27810802	234	237	DWI	T058	UMLS:C0598801
27810802	250	293	Carr-Purcell-Meiboom-Geill (CPMG) condition	T033	UMLS:C0243095
27810802	295	303	Non-CPMG	T033	UMLS:C0243095
27810802	335	341	SS-FSE	T058	UMLS:C0079595
27810802	346	349	DWI	T058	UMLS:C0598801
27810802	354	360	places	T082	UMLS:C0442504
27810802	402	410	resolved	T033	UMLS:C3714811
27810802	424	440	parallel imaging	T058	UMLS:C0079595
27810802	456	464	improved	T033	UMLS:C0184511
27810802	626	629	EPI	T058	UMLS:C0162734
27810802	634	639	nCPMG	T033	UMLS:C0243095
27810802	640	646	SS-FSE	T058	UMLS:C0079595
27810802	711	728	Diffusion imaging	T058	UMLS:C0598801
27810802	734	739	nCPMG	T033	UMLS:C0243095
27810802	740	746	SS-FSE	T058	UMLS:C0079595
27810802	771	774	EPI	T058	UMLS:C0162734
27810802	859	862	EPI	T058	UMLS:C0162734
27810802	864	871	In vivo	T082	UMLS:C1515655
27810802	872	878	images	T170	UMLS:C1704922
27810802	984	987	DWI	T058	UMLS:C0598801
27810802	988	994	images	T170	UMLS:C1704922
27810802	1000	1005	areas	T082	UMLS:C0205146
27810802	1021	1034	off-resonance	T033	UMLS:C2828093
27810802	1069	1085	Parallel imaging	T058	UMLS:C0079595
27810802	1204	1213	direction	T082	UMLS:C0449738
27810802	1223	1226	SAR	T038	UMLS:C1155281
27810802	1227	1239	accumulation	T033	UMLS:C4055506
