27435835|t|An HIV - tailored quit - smoking counselling pilot intervention targeting depressive symptoms plus Nicotine Replacement Therapy
27435835|a|Cardiovascular disease (CVD) rates among people living with HIV/AIDS (PHAs) are high. Rates of cigarette smoking, a leading contributor to CVD among PHAs, are 40-70% (2-3 times higher than the general population). Furthermore, PHAs have high rates of depression (40-60%), a risk factor for smoking cessation relapse. The current pilot study examined the effectiveness of a specifically tailored 5- session smoking cessation counselling programme for PHAs, which addressed depression, in combination with Nicotine Replacement Therapy (NRT) in a cohort of PHA smokers (n = 50). At 6- month follow-up, 28% of participants demonstrated biochemically verified abstinence from smoking. This result compares favourably to other quit - smoking intervention studies, particularly given the high percentage of HIV+ smokers with depression. At study baseline, 52% of HIV+ smokers scored above the clinical cut-off for depression on the Centre for Epidemiological Studies - Depression (CES-D) scale. HIV+ smokers with depression at study baseline demonstrated quantitatively lower depression at 6- month follow-up with a large effect size (d = 1), though it did not reach statistical significance (p = .058). Furthermore, those with depression were no more likely to relapse than those without depression (p = .33), suggesting that our counselling programme adequately addressed this significant barrier to smoking cessation among PHAs. Our pilot study indicates the importance of tailored programmes to help PHAs quit smoking, the significance of addressing depressive symptoms, and the need for tailored counselling programmes to enhance quit rates among PHAs.
27435835	3	6	HIV	T005	UMLS:C0019682
27435835	9	17	tailored	T058	UMLS:C2986593
27435835	33	44	counselling	T058	UMLS:C0010210
27435835	45	50	pilot	T062	UMLS:C0031928
27435835	51	63	intervention	T058	UMLS:C0184661
27435835	74	93	depressive symptoms	T033	UMLS:C0086132
27435835	99	127	Nicotine Replacement Therapy	T058	UMLS:C1278444
27435835	128	150	Cardiovascular disease	T038	UMLS:C0007222
27435835	152	155	CVD	T038	UMLS:C0007222
27435835	169	175	people	T098	UMLS:C0027361
27435835	267	270	CVD	T038	UMLS:C0007222
27435835	321	339	general population	T098	UMLS:C0683971
27435835	379	389	depression	T038	UMLS:C0011570
27435835	402	413	risk factor	T033	UMLS:C0035648
27435835	457	468	pilot study	T062	UMLS:C0031928
27435835	469	477	examined	T033	UMLS:C0332128
27435835	514	522	tailored	T058	UMLS:C2986593
27435835	552	573	counselling programme	T058	UMLS:C0010210
27435835	600	610	depression	T038	UMLS:C0011570
27435835	632	660	Nicotine Replacement Therapy	T058	UMLS:C1278444
27435835	662	665	NRT	T058	UMLS:C1278444
27435835	672	678	cohort	T098	UMLS:C0599755
27435835	686	693	smokers	T033	UMLS:C0337664
27435835	716	725	follow-up	T058	UMLS:C1522577
27435835	734	746	participants	T098	UMLS:C0679646
27435835	813	819	result	T033	UMLS:C2825142
27435835	864	876	intervention	T058	UMLS:C0184661
27435835	877	884	studies	T062	UMLS:C0008972
27435835	928	932	HIV+	T033	UMLS:C0019699
27435835	933	940	smokers	T033	UMLS:C0337664
27435835	946	956	depression	T038	UMLS:C0011570
27435835	961	966	study	T062	UMLS:C0008972
27435835	984	988	HIV+	T033	UMLS:C0019699
27435835	989	996	smokers	T033	UMLS:C0337664
27435835	1035	1045	depression	T038	UMLS:C0011570
27435835	1053	1114	Centre for Epidemiological Studies - Depression (CES-D) scale	T170	UMLS:C0679604
27435835	1116	1120	HIV+	T033	UMLS:C0019699
27435835	1121	1128	smokers	T033	UMLS:C0337664
27435835	1134	1144	depression	T038	UMLS:C0011570
27435835	1148	1153	study	T062	UMLS:C0008972
27435835	1197	1207	depression	T038	UMLS:C0011570
27435835	1220	1229	follow-up	T058	UMLS:C1522577
27435835	1349	1359	depression	T038	UMLS:C0011570
27435835	1410	1420	depression	T038	UMLS:C0011570
27435835	1452	1473	counselling programme	T058	UMLS:C0010210
27435835	1557	1568	pilot study	T062	UMLS:C0031928
27435835	1597	1616	tailored programmes	T058	UMLS:C2986593
27435835	1675	1694	depressive symptoms	T033	UMLS:C0086132
27435835	1713	1744	tailored counselling programmes	T058	UMLS:C2986593
