27446224|t|The Therapeutic Effect of Berberine in the Treatment of Nonalcoholic Fatty Liver Disease: A Meta-Analysis
27446224|a|Aim. To assess the efficacy of berberine in the treatment of nonalcoholic fatty liver disease through meta-analysis. Method. We searched Embase, Pubmed, Cochrane Library, and so forth, until March 2016 for randomized controlled trials using berberine to treat NAFLD. Result. Six randomized controlled trials involving 501 patients were included in this study. The results showed that the efficacy of reducing TC, LDL, ALT, 2hPG, and HbA1c in NAFLD patients of the berberine group were significantly higher than that of control group. The subgroup analyses on TG, AST, and FBG indicated that treatment combined with berberine decreased TG level in NAFLD patients significantly. Compared with other drugs, berberine alone decreased TG level in NAFLD patients significantly. We also conducted a descriptive analysis on insulin resistance and radiography results that berberine can improve NAFLD patients ' insulin resistance and fatty liver. Conclusion. According to analysis result, berberine has positive efficacy on blood lipids, blood glucose, liver function, insulin resistance, and fatty liver condition of NAFLD patients. However, due to the limitation of number and quality of trials included, more clinical randomized controlled trials with high quality are needed for further verification of the efficacy of berberine on NAFLD patients.
27446224	4	22	Therapeutic Effect	T201	UMLS:C1527144
27446224	26	35	Berberine	T103	UMLS:C0005117
27446224	43	52	Treatment	T058	UMLS:C0087111
27446224	56	88	Nonalcoholic Fatty Liver Disease	T038	UMLS:C0400966
27446224	92	105	Meta-Analysis	T062	UMLS:C0920317
27446224	137	146	berberine	T103	UMLS:C0005117
27446224	154	163	treatment	T058	UMLS:C0087111
27446224	167	199	nonalcoholic fatty liver disease	T038	UMLS:C0400966
27446224	208	221	meta-analysis	T062	UMLS:C0920317
27446224	243	249	Embase	T170	UMLS:C0282574
27446224	251	257	Pubmed	T170	UMLS:C1138432
27446224	259	275	Cochrane Library	T170	UMLS:C0282574
27446224	312	340	randomized controlled trials	T062	UMLS:C0282440
27446224	347	356	berberine	T103	UMLS:C0005117
27446224	366	371	NAFLD	T038	UMLS:C0400966
27446224	385	413	randomized controlled trials	T062	UMLS:C0282440
27446224	459	464	study	T062	UMLS:C2603343
27446224	515	517	TC	T103	UMLS:C0543421
27446224	519	522	LDL	T103	UMLS:C0023823
27446224	524	527	ALT	T103	UMLS:C0001899
27446224	539	544	HbA1c	T103	UMLS:C0019018
27446224	548	553	NAFLD	T038	UMLS:C0400966
27446224	570	579	berberine	T103	UMLS:C0005117
27446224	580	585	group	T098	UMLS:C1257890
27446224	644	652	subgroup	T098	UMLS:C1257890
27446224	665	667	TG	T103	UMLS:C0041004
27446224	669	672	AST	T103	UMLS:C0004002
27446224	678	681	FBG	T058	UMLS:C0428568
27446224	697	706	treatment	T058	UMLS:C0087111
27446224	721	730	berberine	T103	UMLS:C0005117
27446224	741	749	TG level	T033	UMLS:C0428475
27446224	753	758	NAFLD	T038	UMLS:C0400966
27446224	803	808	drugs	T103	UMLS:C0013227
27446224	810	819	berberine	T103	UMLS:C0005117
27446224	826	844	decreased TG level	T033	UMLS:C0428475
27446224	848	853	NAFLD	T038	UMLS:C0400966
27446224	898	918	descriptive analysis	T062	UMLS:C0936012
27446224	922	940	insulin resistance	T038	UMLS:C0021655
27446224	945	956	radiography	T058	UMLS:C0043299
27446224	970	979	berberine	T103	UMLS:C0005117
27446224	992	997	NAFLD	T038	UMLS:C0400966
27446224	1009	1027	insulin resistance	T038	UMLS:C0021655
27446224	1032	1043	fatty liver	T038	UMLS:C0015695
27446224	1087	1096	berberine	T103	UMLS:C0005117
27446224	1136	1149	blood glucose	T103	UMLS:C0005802
27446224	1151	1165	liver function	T038	UMLS:C0232741
27446224	1167	1185	insulin resistance	T038	UMLS:C0021655
27446224	1191	1212	fatty liver condition	T038	UMLS:C0015695
27446224	1216	1221	NAFLD	T038	UMLS:C0400966
27446224	1319	1347	randomized controlled trials	T062	UMLS:C0282440
27446224	1421	1430	berberine	T103	UMLS:C0005117
27446224	1434	1439	NAFLD	T038	UMLS:C0400966
