28247217|t|Retrospective study of 24 cases of acute appendiceal diverticulitis: CT findings and pathological correlations
28247217|a|Appendiceal diverticulitis is relatively rare and is difficult to distinguish clinically and radiologically from acute appendicitis. The aim of this study was to describe the computed tomography (CT) findings of acute appendiceal diverticulitis. Among the 1329 patients who underwent appendectomy at our institution between January 2010 and July 2015, 28 were diagnosed pathologically with appendiceal diverticulitis, including 24 patients who were evaluated by preoperative CT. The control group consisted of 38 patients without diverticulitis. Average age of patients, ratio of males to females, appendiceal diameter, presence of a diverticulum, diverticular enhancement, peri-appendiceal fat stranding, peri-appendiceal loculated fluid and perforation, and the presence of appendicolith were evaluated retrospectively. Peri-appendiceal fat stranding (p < 0.005), appendiceal diameter (p < 0.005), and peri-appendiceal loculated fluid differed significantly between the diverticulitis and non - diverticulitis groups (p < 0.005). Although relatively uncommon, appendiceal diverticulitis should be included in the differential diagnosis of acute appendicitis. It differs from typical acute appendicitis by the presence of an inflamed diverticulum, seen on CT. These patients are also more likely to have peri-appendiceal extra-luminal loculated fluid, peri-appendiceal fat stranding, and a larger diameter of the appendix. The latter finding is likely due to the increased intraluminal pressure.
28247217	0	19	Retrospective study	T062	UMLS:C0035363
28247217	41	52	appendiceal	T017	UMLS:C0003617
28247217	53	68	diverticulitis:	T038	UMLS:C0012813
28247217	69	71	CT	T058	UMLS:C0040405
28247217	111	122	Appendiceal	T017	UMLS:C0003617
28247217	123	137	diverticulitis	T038	UMLS:C0012813
28247217	224	242	acute appendicitis	T038	UMLS:C0085693
28247217	286	305	computed tomography	T058	UMLS:C0040405
28247217	306	309	(CT	T058	UMLS:C0040405
28247217	329	340	appendiceal	T017	UMLS:C0003617
28247217	341	355	diverticulitis	T038	UMLS:C0012813
28247217	395	407	appendectomy	T058	UMLS:C0003611
28247217	415	426	institution	T092	UMLS:C2607850
28247217	471	480	diagnosed	T033	UMLS:C0011900
28247217	501	512	appendiceal	T017	UMLS:C0003617
28247217	513	527	diverticulitis	T038	UMLS:C0012813
28247217	560	569	evaluated	T058	UMLS:C0220825
28247217	586	588	CT	T058	UMLS:C0040405
28247217	641	655	diverticulitis	T038	UMLS:C0012813
28247217	682	707	ratio of males to females	T033	UMLS:C0243095
28247217	709	720	appendiceal	T017	UMLS:C0003617
28247217	731	739	presence	T033	UMLS:C0150312
28247217	745	757	diverticulum	T038	UMLS:C0012817
28247217	759	771	diverticular	T038	UMLS:C0012817
28247217	785	801	peri-appendiceal	T017	UMLS:C0003617
28247217	802	815	fat stranding	T033	UMLS:C0243095
28247217	817	833	peri-appendiceal	T017	UMLS:C0003617
28247217	844	849	fluid	T031	UMLS:C0005889
28247217	854	865	perforation	T033	UMLS:C0549099
28247217	875	883	presence	T033	UMLS:C0150312
28247217	887	900	appendicolith	T038	UMLS:C3805175
28247217	906	915	evaluated	T058	UMLS:C0220825
28247217	933	949	Peri-appendiceal	T017	UMLS:C0003617
28247217	950	963	fat stranding	T033	UMLS:C0243095
28247217	977	988	appendiceal	T017	UMLS:C0003617
28247217	1015	1031	peri-appendiceal	T017	UMLS:C0003617
28247217	1042	1047	fluid	T031	UMLS:C0005889
28247217	1083	1097	diverticulitis	T038	UMLS:C0012813
28247217	1108	1122	diverticulitis	T038	UMLS:C0012813
28247217	1173	1184	appendiceal	T017	UMLS:C0003617
28247217	1185	1199	diverticulitis	T038	UMLS:C0012813
28247217	1226	1248	differential diagnosis	T058	UMLS:C0011906
28247217	1252	1270	acute appendicitis	T038	UMLS:C0085693
28247217	1296	1314	acute appendicitis	T038	UMLS:C0085693
28247217	1322	1330	presence	T033	UMLS:C0150312
28247217	1346	1358	diverticulum	T038	UMLS:C0012817
28247217	1368	1370	CT	T058	UMLS:C0040405
28247217	1416	1432	peri-appendiceal	T017	UMLS:C0003617
28247217	1433	1446	extra-luminal	T082	UMLS:C0524462
28247217	1457	1462	fluid	T031	UMLS:C0005889
28247217	1464	1480	peri-appendiceal	T017	UMLS:C0003617
28247217	1481	1494	fat stranding	T033	UMLS:C0243095
28247217	1525	1533	appendix	T017	UMLS:C0003617
28247217	1585	1597	intraluminal	T082	UMLS:C0442115
