27249236|t|Anthology of Venezuelan psychiatry
27249236|a|Reception of Psychiatry in Venezuela since the 19th Century to the late 20th Century merits a historical approach. The following work proposes to research some of the very origins of Venezuelan psychiatry and its possible influence on contemporary mental health practice. Through documental research, the early works of local authors from the 19th Century through 20th Century finals: Carlos Arvelo, Lisandro Alvarado, Francisco Herrera Luque, Jose Luis Vethencourt and Jose Solanes, are subjected to study. This journey illustrates a descriptive panoramic view which allows to better comprenhend the current state of our psychiatry. In a brief introduction the most important events are described, since the arrival of Pinel's ideas, followed by the early research paperworks published and the beginnings of the academic teachings of this specialty in Venezuela and displaying the main contemporary research groups thorough the country.
27249236	0	9	Anthology	T170	UMLS:C0600644
27249236	24	34	psychiatry	T091	UMLS:C0033873
27249236	48	58	Psychiatry	T091	UMLS:C0033873
27249236	62	71	Venezuela	T082	UMLS:C0042469
27249236	181	189	research	T062	UMLS:C0035168
27249236	229	239	psychiatry	T091	UMLS:C0033873
27249236	283	305	mental health practice	T058	UMLS:C0086388
27249236	355	368	local authors	T097	UMLS:C3812881
27249236	420	433	Carlos Arvelo	T204	UMLS:C0086418
27249236	435	452	Lisandro Alvarado	T204	UMLS:C0086418
27249236	454	477	Francisco Herrera Luque	T204	UMLS:C0086418
27249236	479	500	Jose Luis Vethencourt	T204	UMLS:C0086418
27249236	505	517	Jose Solanes	T204	UMLS:C0086418
27249236	657	667	psychiatry	T091	UMLS:C0033873
27249236	755	762	Pinel's	T204	UMLS:C0086418
27249236	888	897	Venezuela	T082	UMLS:C0042469
27249236	951	971	thorough the country	T082	UMLS:C0042469
