,sentence,word_labels
0,A central problem of word sense disambiguation ( WSD ) is the lack of manually sense - tagged data required for supervised learning .,"O,O,O,O,B,I,I,I,I,I,O,O,O,O,B,I,I,I,I,O,O,B,I,O"
1,"In this paper , we evaluate an approach to automatically acquire sense - tagged training data from English - Chinese parallel corpora , which are then used for disambiguating the nouns in the SENSEVAL-2 English lexical sample task .","O,O,O,O,O,O,O,B,O,O,O,B,I,I,I,I,O,B,I,I,I,I,O,O,O,O,O,O,O,O,B,O,O,B,I,I,I,I,O"
2,Our investigation reveals that this method of acquiring sense - tagged data is promising .,"O,O,O,O,O,B,O,B,I,I,I,I,O,O,O"
3,"On a subset of the most difficult SENSEVAL-2 nouns , the accuracy difference between the two approaches is only 14.0 % , and the difference could narrow further to 6.5 % if we disregard the advantage that manually sense - tagged data have in their sense coverage .","O,O,O,O,O,O,O,B,I,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,O,O,O,B,I,O"
4,Our analysis also highlights the importance of the issue of domain dependence in evaluating WSD programs .,"O,O,O,O,O,O,O,O,O,O,B,I,O,B,B,I,O"
0,"We investigate the verbal and nonverbal means for grounding , and propose a design for embodied conversational agents that relies on both kinds of signals to establish common ground in human - computer interaction .","O,O,O,B,I,I,I,O,B,O,O,O,O,B,O,B,I,I,O,O,O,O,O,O,O,O,O,B,I,O,B,I,I,I,O"
1,"We analyzed eye gaze , head nods and attentional focus in the context of a direction - giving task .","O,O,B,I,O,B,I,O,B,I,O,O,O,O,O,B,I,I,I,O"
2,"The distribution of nonverbal behaviors differed depending on the type of dialogue move being grounded , and the overall pattern reflected a monitoring of lack of negative feedback .","O,O,O,B,I,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O"
3,"Based on these results , we present an ECA that uses verbal and nonverbal grounding acts to update dialogue state .","O,O,O,O,O,O,O,O,B,O,O,B,I,I,I,I,O,O,B,I,O"
0,This paper describes the understanding process of the spatial descriptions in Japanese .,"O,O,O,O,O,O,O,O,B,I,O,B,O"
1,"In order to understand the described world , the authors try to reconstruct the geometric model of the global scene from the scenic descriptions drawing a space .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
2,"It is done by an experimental computer program SPRINT , which takes natural language texts and produces a model of the described world .","O,O,O,O,O,O,B,I,I,O,O,O,B,I,I,O,O,O,B,O,O,O,O,O"
3,"To reconstruct the model , the authors extract the qualitative spatial constraints from the text , and represent them as the numerical constraints on the spatial attributes of the entities .","O,O,O,B,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,B,I,O,O,B,I,I,I,I,O"
4,This makes it possible to express the vagueness of the spatial concepts and to derive the maximally plausible interpretation from a chunk of information accumulated as the constraints .,"O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
5,The interpretation reflects the temporary belief about the world .,"O,O,O,O,O,O,O,O,O,O"
0,"We present an efficient algorithm for the redundancy elimination problem : Given an underspecified semantic representation ( USR ) of a scope ambiguity , compute an USR with fewer mutually equivalent readings .","O,O,O,O,B,O,O,B,I,I,O,O,O,B,I,I,I,I,I,O,O,B,I,O,O,O,B,O,O,O,B,I,O"
1,The algorithm operates on underspecified chart representations which are derived from dominance graphs ; it can be applied to the USRs computed by large - scale grammars .,"O,B,O,O,B,I,I,O,O,O,O,B,I,O,B,O,O,O,O,O,B,O,O,B,I,I,I,O"
2,"We evaluate the algorithm on a corpus , and show that it reduces the degree of ambiguity significantly while taking negligible runtime .","O,O,O,B,O,O,O,O,O,O,O,B,O,O,B,I,I,O,O,O,O,O,O"
0,"In order to meet the needs of a publication of papers in English , many systems to run off texts have been developed .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
1,"In this paper , we report a system FROFF which can make a fair copy of not only texts but also graphs and tables indispensable to our papers .","O,O,O,O,O,O,O,B,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,"Its selection of fonts , specification of character size are dynamically changeable , and the typing location can be also changed in lateral or longitudinal directions .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O"
3,Each character has its own width and a line length is counted by the sum of each character .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
4,"By using commands or rules which are defined to facilitate the construction of format expected or some mathematical expressions , elaborate and pretty documents can be successfully obtained .","O,O,B,O,B,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O"
0,Factor analysis and principal components analysis can be used to model linear relationships between observed variables and linearly map high - dimensional data to a lower - dimensional hidden space .,"B,I,O,B,I,I,O,O,O,O,O,B,I,I,I,I,O,O,O,B,I,I,I,O,O,B,I,I,I,I,O"
1,"In factor analysis , the observations are modeled as a linear combination of normally distributed hidden variables .","O,B,I,O,O,O,O,O,O,O,B,I,I,I,I,I,I,O"
2,"We describe a nonlinear generalization of factor analysis , called "" product analy - sis "" , that models the observed variables as a linear combination of products of normally distributed hidden variables .","O,O,O,B,I,I,B,I,O,O,B,I,I,I,I,I,O,O,O,O,B,I,O,O,B,I,I,I,I,I,I,I,I,O"
3,"Just as factor analysis can be viewed as unsupervised linear regression on unobserved , normally distributed hidden variables , product analysis can be viewed as unsupervised linear regression on products of unobserved , normally distributed hidden variables .","O,O,B,I,O,O,O,O,B,I,I,O,O,O,O,B,I,I,O,B,I,O,O,O,O,B,I,I,O,O,O,O,O,O,B,I,I,O"
4,"The mapping between the data and the hidden space is nonlinear , so we use an approximate variational technique for inference and learning .","O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,B,I,I,O,B,O,B,O"
5,"Since product analysis is a generalization of factor analysis , product analysis always finds a higher data likelihood than factor analysis .","O,B,I,O,O,B,I,B,I,O,B,I,O,O,O,O,O,O,O,B,I,O"
6,We give results on pattern recognition and illumination - invariant image clustering .,"O,O,O,O,B,I,O,B,I,I,I,I,O"
0,"A major axis of research at LIMSI is directed at multilingual , speaker - independent , large vocabulary speech dictation .","O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,I,I,I,I,I,O"
