28438945|t|Multi-hospital occurrence of pan-resistant Klebsiella pneumoniae ST147 with an ISEcp1 -directed blaOXA-181 insertion into the mgrB gene in the United Arab Emirates
28438945|a|The emergence of pan-resistant Klebsiella pneumoniae strains is an increasing concern. In the current study we describe a cluster of 9 pan-resistant K. pneumoniae ST147 isolates encountered in 4 patients over nearly one year in 3 hospitals of the United Arab Emirates. The isolates exhibited highly similar genotypes. All produced chromosomally encoded OXA-181 and the majority also produced the NDM-5 carbapenemase. Similarly to the previously described single isolate from the UAE, MS6671, the mgrB was disrupted by a functional, ISEcp1 -driven blaOXA-181 insertion causing resistance to carbapenems. The mutation was successfully complemented with an intact mgrB gene indicating that it was responsible for colistin resistance. blaNDM-5 was located within a resistance island of an approximately 100 kb IncFII plasmid carrying ermB, mph(A), blaTEM-1B, rmtB, blaNDM-5, sul1, aadA2 and dfrA12 resistance genes. Sequencing this plasmid (pABC143-NDM) revealed that its backbone was nearly identical to that of plasmid pMS6671E from which several resistance genes, including blaNDM-5, had been deleted. More extensive similarities of the backbone and the resistance island were found between pABC143C-NDM and the blaNDM-5 carrying IncFII plasmids of two K. pneumoniae ST147 isolates from South Korea, one of which was colistin resistant, and both also produced OXA-181. Notably one of these strains was isolated from a patient transferred from the UAE. Our data show that this pan-resistant clone has an alarming capacity to maintain itself over an extended period of time, and even likely to be transmitted internationally.
28438945	0	14	Multi-hospital	T093	C0026745
28438945	15	25	occurrence	T079	C2745955
28438945	29	42	pan-resistant	T038	C0013203
28438945	43	70	Klebsiella pneumoniae ST147	T007	C0001699
28438945	79	85	ISEcp1	T114,T123	C0205742
28438945	96	106	blaOXA-181	T028	C0017337
28438945	107	116	insertion	T049	C1955829
28438945	126	135	mgrB gene	T028	C0017337
28438945	143	163	United Arab Emirates	T083	C0041698
28438945	181	194	pan-resistant	T038	C0013203
28438945	195	224	Klebsiella pneumoniae strains	T007	C0001699
28438945	299	312	pan-resistant	T038	C0013203
28438945	313	341	K. pneumoniae ST147 isolates	T007	C0001699
28438945	359	367	patients	T101	C0030705
28438945	384	388	year	T079	C0439234
28438945	394	403	hospitals	T073,T093	C0019994
28438945	411	431	United Arab Emirates	T083	C0041698
28438945	437	445	isolates	T007	C0001699
28438945	471	480	genotypes	T032	C0017431
28438945	495	508	chromosomally	T026	C0008633
28438945	517	524	OXA-181	T116,T126	C1447565
28438945	560	579	NDM-5 carbapenemase	T116,T126	C0246081
28438945	626	633	isolate	T007	C0001699
28438945	643	646	UAE	T083	C0041698
28438945	648	654	MS6671	T007	C0001699
28438945	660	664	mgrB	T028	C0017337
28438945	696	702	ISEcp1	T114,T123	C0205742
28438945	711	721	blaOXA-181	T028	C0017337
28438945	722	731	insertion	T049	C1955829
28438945	740	750	resistance	T038	C0013203
28438945	754	765	carbapenems	T109,T195	C0006968
28438945	771	779	mutation	T045	C0026882
28438945	825	834	mgrB gene	T028	C0017337
28438945	874	882	colistin	T116,T195	C0009316
28438945	883	893	resistance	T038	C0013203
28438945	895	903	blaNDM-5	T028	C3699343
28438945	925	942	resistance island	T114,T123	C1257892
28438945	970	984	IncFII plasmid	T114,T123	C0032136
28438945	994	998	ermB	T028	C0017337
28438945	1000	1006	mph(A)	T028	C0017337
28438945	1008	1017	blaTEM-1B	T028	C0017337
28438945	1019	1023	rmtB	T028	C0017337
28438945	1025	1033	blaNDM-5	T028	C3699343
28438945	1035	1039	sul1	T028	C0017337
28438945	1041	1046	aadA2	T028	C0017337
28438945	1051	1057	dfrA12	T028	C0017337
28438945	1058	1074	resistance genes	T028	C2945710
28438945	1076	1086	Sequencing	T059	C1294197
28438945	1092	1099	plasmid	T114,T123	C0032136
28438945	1101	1112	pABC143-NDM	T114,T123	C0032136
28438945	1132	1140	backbone	T086	C0004793
28438945	1173	1189	plasmid pMS6671E	T114,T123	C0032136
28438945	1209	1225	resistance genes	T028	C2945710
28438945	1237	1245	blaNDM-5	T028	C3699343
28438945	1280	1292	similarities	T080	C2348205
28438945	1300	1308	backbone	T086	C0004793
28438945	1317	1334	resistance island	T114,T123	C1257892
28438945	1354	1366	pABC143C-NDM	T114,T123	C0032136
28438945	1375	1383	blaNDM-5	T028	C3699343
28438945	1393	1408	IncFII plasmids	T114,T123	C0032136
28438945	1416	1444	K. pneumoniae ST147 isolates	T007	C0001699
28438945	1450	1461	South Korea	T083	C0022773
28438945	1480	1488	colistin	T116,T195	C0009316
28438945	1489	1498	resistant	T169	C0332325
28438945	1523	1530	OXA-181	T116,T126	C1447565
28438945	1553	1560	strains	T007	C0001699
28438945	1581	1588	patient	T101	C0030705
28438945	1589	1600	transferred	T033	C4049693
28438945	1610	1613	UAE	T083	C0041698
28438945	1619	1623	data	T078	C1511726
28438945	1639	1652	pan-resistant	T038	C0013203
28438945	1653	1658	clone	T007	C0001699
28438945	1687	1702	maintain itself	T169	C0220921
28438945	1720	1734	period of time	T079	C1948053
28438945	1770	1785	internationally	T078	C1512888
