28324211|t|GEORG-SCHMORL-PRIZE OF THE GERMAN SPINE SOCIETY (DWG) 2016: Comparison of in vitro osteogenic potential of iliac crest and degenerative facet joint bone autografts for intervertebral fusion in lumbar spinal stenosis
28324211|a|The promotion of spinal fusion using bone autografts is largely mediated by the osteoinductive potential of progenitors / mesenchymal stem cells (MSC) that reside in the marrow spaces of cancellous bone. Iliac crest is the common autograft donor site, but its use presents an increased risk for donor site pain, morbidity and infection. Degenerative bone samples harvested during facetectomy might provide an alternative viable source of osteoinductive autografts. In this study, we conducted an intra-individual comparison of the osteogenic potential of isolated low passage MSC from both sources. Iliac crest and degenerative facet joints were harvested from eight consecutive patients undergoing transforaminal lumbar interspinal fusion due to lumbar spinal stenosis. MSC were isolated by collagenase digestion, selected by plastic adherence and minimally expanded for downstream assays. Clonogenic and osteogenic potential was evaluated by colony formation assays in control and osteogenic culture medium. Osteogenic properties, including alkaline phosphatase (ALP) induction, matrix mineralization and type I collagen mRNA and protein expression were characterized using quantitative histochemical staining and reverse transcription PCR. Spontaneous adipogenesis was analysed by adipocyte enumeration and gene expression analysis of adipogenic markers. Average colony-forming efficiency in osteogenic medium was equal between iliac crest (38 ± 12%) and facet joint (36 ± 11%). Osteogenic potential at the clonal level was 55 ± 26 and 68 ± 17% for iliac crest and facet joint MSC, respectively. Clonogenic and osteogenic potential were significantly negatively associated with donor age. Osteogenic differentiation led to significant induction of ALP activity in iliac crest (sixfold) and facet joint (eightfold) MSC. Matrix mineralization quantified by Alizarin red staining was increased by osteogenic differentiation, yet similar between both MSC sources. Protein expression of type I collagen was enhanced during osteogenesis and significantly greater in iliac crest MSC. Correspondingly, COL1A2 mRNA expression was higher in osteogenically differentiated MSC from iliac crest. Adipocyte numbers showed significant differences between iliac crest (63 ± 60) and facet joint (18 ± 15) MSC under osteogenic conditions. Negative (GREM1) and positive (FABP4) adipogenic markers were not differentially expressed between sources. MSC from iliac crest and degenerative facet joints largely display similar clonogenic and osteogenic properties in vitro. Differences at the molecular level are not likely to impair the osteoinductive capacity of facet joint MSC. Bone autografts from facetectomy would be viable alternatives as bone autografts for intervertebral spinal fusion in lumbar spinal stenosis.
28324211	0	19	GEORG-SCHMORL-PRIZE	T073	C0080049
28324211	23	47	THE GERMAN SPINE SOCIETY	T092	C1561598
28324211	49	52	DWG	T092	C1561598
28324211	60	70	Comparison	T052	C1707455
28324211	74	82	in vitro	T080	C1533691
28324211	83	93	osteogenic	T042	C0029433
28324211	94	103	potential	T080	C3245505
28324211	107	118	iliac crest	T023	C0223651
28324211	123	135	degenerative	T169	C1880269
28324211	136	147	facet joint	T030	C0224521
28324211	148	163	bone autografts	T061	C0440800
28324211	168	182	intervertebral	T029	C0442106
28324211	183	189	fusion	T061	C0037935
28324211	193	215	lumbar spinal stenosis	T047	C0158288
28324211	233	246	spinal fusion	T061	C0037935
28324211	253	268	bone autografts	T061	C0440800
28324211	296	310	osteoinductive	T042	C0029433
28324211	311	320	potential	T080	C3245505
28324211	324	335	progenitors	T025	C0038250
28324211	338	360	mesenchymal stem cells	T025	C1257975
28324211	362	365	MSC	T025	C1257975
28324211	386	392	marrow	T023	C0376152
28324211	393	399	spaces	T030	C0229984
28324211	403	418	cancellous bone	T024	C0222660
28324211	420	431	Iliac crest	T023	C0223651
28324211	446	455	autograft	T061	C0440800
28324211	456	466	donor site	T029	C1444716
28324211	492	501	increased	T081	C0205217
28324211	502	506	risk	T078	C0035647
28324211	511	521	donor site	T029	C1444716
28324211	522	526	pain	T184	C0030193
28324211	528	537	morbidity	T081	C0026538
28324211	542	551	infection	T046	C3714514
28324211	553	565	Degenerative	T169	C1880269
28324211	566	570	bone	T023	C0262950
28324211	571	578	samples	T167	C0370003
28324211	596	607	facetectomy	T061	C0546528
28324211	654	668	osteoinductive	T042	C0029433
28324211	669	679	autografts	T061	C0440800
28324211	689	694	study	T062	C2603343
28324211	712	728	intra-individual	T098	C0237401
28324211	729	739	comparison	T052	C1707455
28324211	747	757	osteogenic	T042	C0029433
28324211	758	767	potential	T080	C3245505
28324211	792	795	MSC	T025	C1257975
28324211	815	826	Iliac crest	T023	C0223651
28324211	831	843	degenerative	T169	C1880269
28324211	844	856	facet joints	T030	C0224521
28324211	895	903	patients	T101	C0030705
28324211	915	955	transforaminal lumbar interspinal fusion	T061	C0037935
28324211	963	985	lumbar spinal stenosis	T047	C0158288
28324211	987	990	MSC	T025	C1257975
28324211	1008	1029	collagenase digestion	T059	C0022885
28324211	1043	1050	plastic	T167	C0032167
28324211	1051	1060	adherence	T169	C1510802
28324211	1088	1105	downstream assays	T059	C0005507
28324211	1107	1117	Clonogenic	T080	C0205556
28324211	1122	1132	osteogenic	T042	C0029433
28324211	1133	1142	potential	T080	C3245505
28324211	1160	1183	colony formation assays	T059	C0009385
28324211	1187	1194	control	T130	C0973172
28324211	1199	1209	osteogenic	T042	C0029433
28324211	1210	1224	culture medium	T130	C0010454
