27529135|t|Effect of Protein Repetitiveness on Protein-Protein Interaction Prediction Results Using Support Vector Machines
27529135|a|There are many computational approaches to predict the protein-protein interactions using support vector machines (SVMs) with high performance. In fact, performance of currently reported methods are significantly over-estimated and affected by the object repetitiveness in the datasets used. To study the effect of object repetitiveness of datasets on predicting results. We present novel methods to construct different positive datasets with or without repeating proteins using graph maximum matching in the protein-protein interaction datasets and corresponding series of negative datasets with different proteins repetitiveness are constructed using graph adjacency matrix. The relationship between the SVM prediction results and the repeated proteins (repeat numbers and repeat rates) and the distributions of repeated proteins in the datasets are analyzed. Protein repetitiveness of positive and negative datasets can affect the prediction result: high protein repetitiveness of positive or negative datasets yield high performance prediction result. This indicate that dealing with object repetitiveness of datasets is a key issue in protein-protein interactions prediction using SVMs since real world data contain certain degrees of repeat proteins.
27529135	0	6	Effect	T080	C1280500
27529135	10	17	Protein	T116,T123	C0033684
27529135	18	32	Repetitiveness	T169	C0205341
27529135	36	63	Protein-Protein Interaction	T044	C0872079
27529135	64	74	Prediction	T078	C0681842
27529135	75	82	Results	T169	C1274040
27529135	89	112	Support Vector Machines	T081	C2699740
27529135	128	152	computational approaches	T062	C1516769
27529135	168	196	protein-protein interactions	T044	C0872079
27529135	203	226	support vector machines	T081	C2699740
27529135	228	232	SVMs	T081	C2699740
27529135	300	307	methods	T170	C0025663
27529135	368	382	repetitiveness	T169	C0205341
27529135	390	398	datasets	T170	C0150098
27529135	408	413	study	T062	C2603343
27529135	435	449	repetitiveness	T169	C0205341
27529135	453	461	datasets	T170	C0150098
27529135	465	475	predicting	T078	C0681842
27529135	476	483	results	T169	C1274040
27529135	502	509	methods	T170	C0025663
27529135	533	541	positive	T033	C1446409
27529135	542	550	datasets	T170	C0150098
27529135	577	585	proteins	T116,T123	C0033684
27529135	592	597	graph	T170	C0681493
27529135	622	649	protein-protein interaction	T044	C0872079
27529135	650	658	datasets	T170	C0150098
27529135	687	695	negative	T033	C0205160
27529135	696	704	datasets	T170	C0150098
27529135	720	728	proteins	T116,T123	C0033684
27529135	729	743	repetitiveness	T169	C0205341
27529135	766	771	graph	T170	C0681493
27529135	772	788	adjacency matrix	T082	C1879629
27529135	794	806	relationship	T080	C0439849
27529135	819	822	SVM	T081	C2699740
27529135	823	833	prediction	T078	C0681842
27529135	834	841	results	T169	C1274040
27529135	850	858	repeated	T169	C0205341
27529135	859	867	proteins	T116,T123	C0033684
27529135	910	923	distributions	T169	C1704711
27529135	927	935	repeated	T169	C0205341
27529135	936	944	proteins	T116,T123	C0033684
27529135	952	960	datasets	T170	C0150098
27529135	975	982	Protein	T116,T123	C0033684
27529135	983	997	repetitiveness	T169	C0205341
27529135	1001	1009	positive	T033	C1446409
27529135	1014	1022	negative	T033	C0205160
27529135	1023	1031	datasets	T170	C0150098
27529135	1047	1057	prediction	T078	C0681842
27529135	1058	1064	result	T169	C1274040
27529135	1071	1078	protein	T116,T123	C0033684
27529135	1079	1093	repetitiveness	T169	C0205341
27529135	1097	1105	positive	T033	C1446409
27529135	1109	1117	negative	T033	C0205160
27529135	1118	1126	datasets	T170	C0150098
27529135	1161	1167	result	T169	C1274040
27529135	1208	1222	repetitiveness	T169	C0205341
27529135	1226	1234	datasets	T170	C0150098
27529135	1253	1281	protein-protein interactions	T044	C0872079
27529135	1282	1292	prediction	T078	C0681842
27529135	1299	1303	SVMs	T081	C2699740
27529135	1321	1325	data	T078	C1511726
27529135	1353	1359	repeat	T169	C0205341
27529135	1360	1368	proteins	T116,T123	C0033684
