28101466|t|Characterization of the Effect of Drug-Drug Interaction on Protein Binding in Concurrent Administration of Sulfamethoxazol and Diclofenac Sodium Using Bovine Serum Albumin
28101466|a|Purpose: This project was aimed to determine the effect of concurrent administration of sulfamethoxazole and diclofenac sodium. Methods: Equilibrium dialysis method was adopted to study different protein binding aspects of sulfamethoxazole and diclofenac sodium. Results: Sulfamethoxazole showed two types of association constants; high affinity constant 29.0±0.20×10(6) M(-1) with lower number of binding sites of 0.7±1 and low affinity constant 1.13±0.20×10(6) M(-1) with higher number of binding sites of 3.45±1 at pH 7.4 and 40 °C temperature. Diclofenac sodium showed high affinity constant 33.66±0.20×10(6) M(-1) with lower number of binding sites of 1.01±1 and low affinity constant 1.72±0.20×10(6) M(-1) with higher number of binding sites of 6.40±1 at the same condition. Site specific probe displacement data implied that site-I, warfarin sodium site, was the high affinity site, while site-II, diazepam site, was the low affinity site for these drugs. During concurrent administration, sulfamethoxazole increased the free concentration of diclofenac sodium from 17.5±0.14% to 70.0±0.014% in absence and from 22.5±0.07% to 83.0±0.014% in presence of site-I specific probe. Diclofenac sodium also increased the free concentration of sulfamethoxazole from 2.8±0.07% to 52.0±0.14% and from 8.5±0.014% to 64.4±0.07% in absence and presence of site-I specific probe respectively. Conclusion: The study revealed that the concurrent administration of sulfamethoxazole and diclofenac sodium may result drug concentration alteration in blood.
28101466	0	16	Characterization	T052	C1880022
28101466	24	30	Effect	T080	C1280500
28101466	34	55	Drug-Drug Interaction	T044	C0687133
28101466	59	74	Protein Binding	T044	C0033618
28101466	78	88	Concurrent	T079	C0205420
28101466	89	103	Administration	T061	C1533734
28101466	107	122	Sulfamethoxazol	T109,T195	C0038689
28101466	127	144	Diclofenac Sodium	T109,T121	C0700583
28101466	151	171	Bovine Serum Albumin	T116,T123	C0036774
28101466	186	193	project	T077	C1709701
28101466	221	227	effect	T080	C1280500
28101466	231	241	concurrent	T079	C0205420
28101466	242	256	administration	T061	C1533734
28101466	260	276	sulfamethoxazole	T109,T195	C0038689
28101466	281	298	diclofenac sodium	T109,T121	C0700583
28101466	309	336	Equilibrium dialysis method	T059	C0022885
28101466	352	357	study	T062	C2603343
28101466	368	391	protein binding aspects	T044	C0033618
28101466	395	411	sulfamethoxazole	T109,T195	C0038689
28101466	416	433	diclofenac sodium	T109,T121	C0700583
28101466	444	460	Sulfamethoxazole	T109,T195	C0038689
28101466	481	502	association constants	T081	C0392762
28101466	504	508	high	T080	C0205250
28101466	509	526	affinity constant	T081	C0392762
28101466	570	583	binding sites	T087	C1514562
28101466	597	600	low	T080	C0205251
28101466	601	618	affinity constant	T081	C0392762
28101466	663	676	binding sites	T087	C1514562
28101466	690	692	pH	T081	C4283908
28101466	707	718	temperature	T081	C0039476
28101466	720	737	Diclofenac sodium	T109,T121	C0700583
28101466	745	749	high	T080	C0205250
28101466	750	767	affinity constant	T081	C0392762
28101466	812	825	binding sites	T087	C1514562
28101466	840	843	low	T080	C0205251
28101466	844	861	affinity constant	T081	C0392762
28101466	906	919	binding sites	T087	C1514562
28101466	953	990	Site specific probe displacement data	T078	C1511726
28101466	1004	1010	site-I	T087	C1514562
28101466	1012	1027	warfarin sodium	T109,T121,T131	C0376218
28101466	1028	1032	site	T087	C1514562
28101466	1042	1060	high affinity site	T087	C1514562
28101466	1068	1075	site-II	T087	C1514562
28101466	1077	1085	diazepam	T109,T121	C0012010
28101466	1086	1090	site	T087	C1514562
28101466	1100	1117	low affinity site	T087	C1514562
28101466	1128	1133	drugs	T121	C1254351
28101466	1142	1152	concurrent	T079	C0205420
28101466	1153	1167	administration	T061	C1533734
28101466	1169	1185	sulfamethoxazole	T109,T195	C0038689
28101466	1200	1218	free concentration	T081	C0392762
28101466	1222	1239	diclofenac sodium	T109,T121	C0700583
28101466	1274	1281	absence	T169	C0332197
28101466	1320	1328	presence	T033	C0150312
28101466	1332	1353	site-I specific probe	T130	C0026381
28101466	1355	1372	Diclofenac sodium	T109,T121	C0700583
28101466	1392	1410	free concentration	T081	C0392762
28101466	1414	1430	sulfamethoxazole	T109,T195	C0038689
28101466	1497	1504	absence	T169	C0332197
28101466	1509	1517	presence	T033	C0150312
28101466	1521	1542	site-I specific probe	T130	C0026381
28101466	1573	1578	study	T062	C2603343
28101466	1597	1607	concurrent	T079	C0205420
28101466	1608	1622	administration	T061	C1533734
28101466	1626	1642	sulfamethoxazole	T109,T195	C0038689
28101466	1647	1664	diclofenac sodium	T109,T121	C0700583
28101466	1676	1705	drug concentration alteration	T033	C4062620
28101466	1709	1714	blood	T031	C0005767
