28118200|t|Clinical Observation of Treatment of Chronic Subdural Hematoma With Novel Double Needle Minimally Invasive Aspiration Technology
28118200|a|The aim of the present study was to explore the clinical effects, including the prevention of complications, of the treatment of chronic subdural hematoma with double needle aspiration. The clinical data of 31 patients with chronic subdural hematoma treated by double YL-1 needle double skull drilling and 31 controls treated by traditional drilling and drainage were analyzed retrospectively. In the YL-1 needle group, only 1 patient was with hematoma recurrence, 1 patient was with intracranial pneumocephalus, and the remaining patients who were followed up for 3 months achieved a clinical cure. In the traditional drilling and drainage group, 13 patients were with hematoma recurrence within 3 months after the operation and 7 patients were with postoperative intracranial pneumocephalus. The method of double YL-1 needle is better than the traditional drilling and drainage method for the treatment of chronic subdural hematoma because it reduces the postoperative recurrence rate and complications.
28118200	0	20	Clinical Observation	T058	C3889687
28118200	24	33	Treatment	T169	C1522326
28118200	37	62	Chronic Subdural Hematoma	T046	C0749095
28118200	68	128	Novel Double Needle Minimally Invasive Aspiration Technology	T074	C0025080
28118200	133	136	aim	T078	C1947946
28118200	152	157	study	T062	C2603343
28118200	177	193	clinical effects	T080	C3850123
28118200	223	236	complications	T046	C0009566
28118200	245	254	treatment	T169	C1522326
28118200	258	283	chronic subdural hematoma	T046	C0749095
28118200	289	313	double needle aspiration	T074	C0025080
28118200	319	332	clinical data	T170	C1516606
28118200	339	347	patients	T101	C0030705
28118200	353	378	chronic subdural hematoma	T046	C0749095
28118200	379	386	treated	T169	C1522326
28118200	390	408	double YL-1 needle	T074	C0025080
28118200	416	430	skull drilling	T061	C0185154
28118200	447	454	treated	T169	C1522326
28118200	470	478	drilling	T061	C0185154
28118200	483	491	drainage	T061	C0013103
28118200	530	541	YL-1 needle	T074	C0025080
28118200	542	547	group	T078	C0441833
28118200	556	563	patient	T101	C0030705
28118200	573	581	hematoma	T046	C0018944
28118200	582	592	recurrence	T046	C2825055
28118200	596	603	patient	T101	C0030705
28118200	613	640	intracranial pneumocephalus	T047	C0238376
28118200	660	668	patients	T101	C0030705
28118200	696	702	months	T079	C0439231
28118200	714	727	clinical cure	T033	C3640840
28118200	736	756	traditional drilling	T061	C0185154
28118200	761	769	drainage	T061	C0013103
28118200	770	775	group	T078	C0441833
28118200	780	788	patients	T101	C0030705
28118200	799	807	hematoma	T046	C0018944
28118200	808	818	recurrence	T046	C2825055
28118200	828	834	months	T079	C0439231
28118200	845	854	operation	T061	C0543467
28118200	861	869	patients	T101	C0030705
28118200	880	893	postoperative	T079	C0032790
28118200	894	921	intracranial pneumocephalus	T047	C0238376
28118200	927	933	method	T170	C0025663
28118200	937	955	double YL-1 needle	T074	C0025080
28118200	975	995	traditional drilling	T061	C0185154
28118200	1000	1015	drainage method	T061	C0013103
28118200	1024	1033	treatment	T169	C1522326
28118200	1037	1062	chronic subdural hematoma	T046	C0749095
28118200	1086	1099	postoperative	T079	C0032790
28118200	1100	1110	recurrence	T046	C2825055
28118200	1120	1133	complications	T046	C0009566
