28130086|t|The opioid antagonist, β-funaltrexamine, inhibits lipopolysaccharide -induced neuroinflammation and reduces sickness behavior in mice
28130086|a|Brain pathologies such as neurodegenerative diseases, infection, traumatic brain injury, and mood disorders produce enormous personal and economic burdens. It is well established that neuroinflammation plays an important role in the etiology and/or manifestation of such disorders. Previously, we discovered that beta-funaltrexamine (β-FNA) inhibits inflammatory signaling in human astrocytes in vitro, resulting in reduced expression of proinflammatory cytokines / chemokines. The present study examines the effects of peripherally administered β-FNA on lipopolysaccharide (LPS)-induced neuroinflammation and sickness behavior in vivo. Adult male C57BL/6J mice were administered β-FNA and were then immediately administered bacterial lipopolysaccharide (LPS). At 24h post-injections, sickness behavior was assessed in an open-field test. Following behavioral analysis plasma and brains were collected. Levels of interleukin-6 (IL-6), interferon-γ inducible protein-10 (CXCL10), and monocyte chemoattractant protein-1 (CCL2) were determined by enzyme-linked immunosorbant assay (ELISA). At 24h post- LPS injection, IL-6, CCL2 and CXCL10 were increased in the plasma, whereas, only CCL2 and CXCL10 were elevated in the brain. β-FNA significantly inhibited LPS -induced CXCL10 and CCL2 expression in brain, but minimally or not at all in the plasma. LPS -induced sickness behavior, as indicated by a reduction in distance moved, was prevented by β-FNA. Overall, CXCL10 expression in the brain was most positively and significantly correlated with sickness behavior; whereas, anxiety -like behavior was most positively and significantly correlated with IL-6 and CCL2 levels in the plasma and levels of CXCL10 and CCL2 in the brain. The reduction in sickness behavior may be in part due to decreased chemokine expression in the brain; further examination of the anti-inflammatory and neuroprotective effects of β-FNA is warranted.
28130086	4	21	opioid antagonist	T121	C0027410
28130086	23	39	β-funaltrexamine	T109,T121	C0053433
28130086	50	68	lipopolysaccharide	T109	C0023810
28130086	78	95	neuroinflammation	T046	C1408627
28130086	108	125	sickness behavior	T053	C2350572
28130086	129	133	mice	T015	C1521751
28130086	134	151	Brain pathologies	T046	C0006119
28130086	160	186	neurodegenerative diseases	T047	C0524851
28130086	188	197	infection	T046	C3714514
28130086	199	221	traumatic brain injury	T037	C0876926
28130086	227	241	mood disorders	T048	C0525045
28130086	259	267	personal	T032	C1519021
28130086	272	288	economic burdens	T081	C1512163
28130086	318	335	neuroinflammation	T046	C1408627
28130086	367	375	etiology	T169	C1314792
28130086	383	399	manifestation of	T080	C1280464
28130086	405	414	disorders	T047	C0012634
28130086	447	466	beta-funaltrexamine	T109,T121	C0053433
28130086	468	473	β-FNA	T109,T121	C0053433
28130086	484	496	inflammatory	T169	C0333348
28130086	497	506	signaling	T044	C0037080
28130086	510	515	human	T016	C0086418
28130086	516	526	astrocytes	T025	C0004112
28130086	527	535	in vitro	T080	C1533691
28130086	558	568	expression	T045	C1171362
28130086	572	587	proinflammatory	T169	C0333348
28130086	588	597	cytokines	T043	C0010813
28130086	600	610	chemokines	T116,T129	C0282554
28130086	654	666	peripherally	T082	C0205100
28130086	667	679	administered	T061	C1533734
28130086	680	685	β-FNA	T109,T121	C0053433
28130086	689	707	lipopolysaccharide	T109	C0023810
28130086	709	712	LPS	T109	C0023810
28130086	722	739	neuroinflammation	T046	C1408627
28130086	744	761	sickness behavior	T053	C2350572
28130086	782	795	C57BL/6J mice	T015	C1521751
28130086	814	819	β-FNA	T109,T121	C0053433
28130086	846	858	administered	T061	C1533734
28130086	859	868	bacterial	T080	C0521009
28130086	869	887	lipopolysaccharide	T109	C0023810
28130086	889	892	LPS	T109	C0023810
28130086	919	936	sickness behavior	T053	C2350572
28130086	956	971	open-field test	T055	C0237760
28130086	983	1002	behavioral analysis	T058	C1160858
28130086	1003	1009	plasma	T031	C0032105
28130086	1014	1020	brains	T023	C0006104
