27882066|t|Bioinformatic Analysis of Codon Usage and Phylogenetic Relationships in Different Genotypes of the Hepatitis C Virus
27882066|a|The hepatitis C virus (HCV) has six major genotypes. The purpose of this study was to phylogenetically investigate the differences between the genotypes of HCV, and to determine the types of amino acid codon usage in the structure of the virus in order to discover new methods for treatment regimes. The codon usage of the six genotypes of the HCV nucleotide sequence was investigated through the online application available on the website Gene Infinity. Also, phylogenetic analysis and the evolutionary relationship of HCV genotypes were analyzed with MEGA 7 software. The six genotypes of HCV were divided into two groups based on their codon usage properties. In the first group, genotypes 1 and 5 (74.02%), and in the second group, genotypes 2 and 6 (72.43%) were shown to have the most similarity in terms of codon usage. Unlike the results with respect to determining the similarity of codon usage, the phylogenetic analysis showed the closest resemblance and correlation between genotypes 1 and 4. The results also showed that HCV has a GC (guanine - cytosine) abundant genome structure and prefers codons with GC for translation. Genotypes 1 and 4 demonstrated remarkable similarity in terms of genome sequences and proteins, but surprisingly, in terms of the preferred codons for gene expression, they showed the greatest difference. More studies are therefore needed to confirm the results and select the best approach for treatment of these genotypes based on their codon usage properties.
27882066	0	13	Bioinformatic	T091	C1140694
27882066	14	22	Analysis	T062	C0936012
27882066	26	31	Codon	T086	C0009221
27882066	32	37	Usage	T169	C0457083
27882066	42	68	Phylogenetic Relationships	T080	C1519069
27882066	82	91	Genotypes	T032	C0017431
27882066	99	116	Hepatitis C Virus	T005	C0220847
27882066	121	138	hepatitis C virus	T005	C0220847
27882066	140	143	HCV	T005	C0220847
27882066	159	168	genotypes	T032	C0017431
27882066	190	195	study	T062	C2603343
27882066	203	231	phylogenetically investigate	T062	C1519068
27882066	260	269	genotypes	T032	C0017431
27882066	273	276	HCV	T005	C0220847
27882066	308	318	amino acid	T116,T121,T123	C0002520
27882066	319	324	codon	T086	C0009221
27882066	325	330	usage	T169	C0457083
27882066	338	360	structure of the virus	T017	C2717802
27882066	398	415	treatment regimes	T058	C0418956
27882066	421	426	codon	T086	C0009221
27882066	427	432	usage	T169	C0457083
27882066	444	453	genotypes	T032	C0017431
27882066	461	464	HCV	T005	C0220847
27882066	465	484	nucleotide sequence	T086	C0004793
27882066	489	501	investigated	T169	C1292732
27882066	550	571	website Gene Infinity	T170	C2349146
27882066	579	600	phylogenetic analysis	T062	C1519068
27882066	609	634	evolutionary relationship	T080	C0205556
27882066	638	641	HCV	T005	C0220847
27882066	642	651	genotypes	T032	C0017431
27882066	657	665	analyzed	T062	C0936012
27882066	671	686	MEGA 7 software	T073,T170	C0037585
27882066	696	705	genotypes	T032	C0017431
27882066	709	712	HCV	T005	C0220847
27882066	735	741	groups	T078	C0441833
27882066	757	762	codon	T086	C0009221
27882066	763	768	usage	T169	C0457083
27882066	769	779	properties	T080	C0871161
27882066	794	799	group	T078	C0441833
27882066	801	818	genotypes 1 and 5	T032	C0017431
27882066	847	852	group	T078	C0441833
27882066	854	871	genotypes 2 and 6	T032	C0017431
27882066	909	919	similarity	T080	C2348205
27882066	932	937	codon	T086	C0009221
27882066	938	943	usage	T169	C0457083
27882066	996	1006	similarity	T080	C2348205
27882066	1010	1015	codon	T086	C0009221
27882066	1016	1021	usage	T169	C0457083
27882066	1027	1048	phylogenetic analysis	T062	C1519068
27882066	1068	1079	resemblance	T080	C0205556
27882066	1084	1095	correlation	T080	C1707520
27882066	1104	1121	genotypes 1 and 4	T032	C0017431
27882066	1152	1155	HCV	T005	C0220847
27882066	1162	1164	GC	T114	C0028630
27882066	1166	1173	guanine	T114	C0018321
27882066	1166	1184	guanine - cytosine	T114	C0028630
27882066	1176	1184	cytosine	T109,T123	C0010843
27882066	1195	1211	genome structure	T028	C0017428
27882066	1224	1230	codons	T086	C0009221
27882066	1243	1254	translation	UnknownType	C0678935
27882066	1256	1273	Genotypes 1 and 4	T032	C0017431
27882066	1298	1308	similarity	T080	C2348205
27882066	1321	1337	genome sequences	T085	C1254364
27882066	1342	1350	proteins	T116,T123	C0033684
27882066	1396	1402	codons	T086	C0009221
27882066	1407	1422	gene expression	T045	C0017262
27882066	1466	1473	studies	T062	C2603343
27882066	1538	1546	approach	T082	C0449445
27882066	1551	1560	treatment	T169	C1522326
27882066	1570	1579	genotypes	T032	C0017431
27882066	1595	1600	codon	T086	C0009221
27882066	1601	1606	usage	T169	C0457083
27882066	1607	1617	properties	T080	C0871161
