27714730|t|Anatomic assessment of the left main bifurcation and dynamic bifurcation angles using computed tomography angiography
27714730|a|An understanding of the left main coronary artery (LMCA) anatomy is important for accurate diagnosis and therapeutic. We aimed to investigate LMCA anatomy via 128-multisliced coronary computed-tomography-angiography (CCTA) in patients with normal LMCA. A total of 201 CCTA studies were included in this study. Anatomical features of LMCA including cross-sectional areas of the LMCA ostial, LMCA distal, LAD ostial and LCX ostial, and degree of tapering and LMCA bifurcation angles (BA) in the form of LMCA - LCX BA, LMCA - LAD BA, LAD - LCX BA at end-diastole and end-systole. The mean age was 55 ± 11 with 55.7% males. RCA was dominant in 173 (86.1%) patients. Mean LMCA length was 10.0±4.5 mm. The mean values of LMCA ostial, LMCA distal, LAD ostial and LCX ostial areas were 18.2±5.1 mm², 13.2±4.0, 9.0±3.2 mm² and 7.6±2.8 mm², respectively. LMCA ostial - distal area, LMCA distal - LAD ostial area and LMCA distal - LCX ostial area ratios were ≥1.44 - <1.69 in 47 (23.4%), 53 (26.4%), 47 (23.4%) patients, respectively, and were ≥1.69-<1.96 in 19 (9.5%), 24(11.9%), 40(19.9%) patients respectively. Systolic motion modifies LMCA BAs; systolic motion begets an increment of LMCA - LAD angle in 72.6% of patients and decrement of LAD - LCX angle in 75.6% of the patients. Patients with T-shaped LAD - LCX BA was shown to have significantly longer LMCA, larger LAD ostial area, larger LCX ostial area and higher diastolic-to-systolic range (DSR) of LAD - LCX BA compared to patients with Y-shaped LAD - LCX BA. LMCA with T-shaped distal BA was found to have significantly longer LMCA, larger LAD ostial area, larger LCX ostial area and higher DSR of distal BA compared to patients with Y-shaped distal BA. These findings may provide useful information for LMCA bifurcation stenting or designing dedicated stents for LMCA.
27714730	0	8	Anatomic	T080	C0220784
27714730	9	19	assessment	T058	C0220825
27714730	27	48	left main bifurcation	T082	C1254362
27714730	53	79	dynamic bifurcation angles	T082	C1254362
27714730	86	117	computed tomography angiography	T060	C1536105
27714730	142	167	left main coronary artery	T023	C1261082
27714730	169	173	LMCA	T023	C1261082
27714730	175	182	anatomy	T017	C0700276
27714730	209	218	diagnosis	T080	C1704338
27714730	223	234	therapeutic	T061	C0087111
27714730	248	259	investigate	T169	C1292732
27714730	260	264	LMCA	T023	C1261082
27714730	265	272	anatomy	T017	C0700276
27714730	277	333	128-multisliced coronary computed-tomography-angiography	T060	C1536105
27714730	335	339	CCTA	T060	C1536105
27714730	344	352	patients	T101	C0030705
27714730	365	369	LMCA	T023	C1261082
27714730	386	390	CCTA	T060	C1536105
27714730	391	398	studies	T062	C0008972
27714730	421	426	study	T062	C2603343
27714730	428	447	Anatomical features	T017	C0700276
27714730	451	455	LMCA	T023	C1261082
27714730	466	487	cross-sectional areas	T082	C0552389
27714730	495	499	LMCA	T023	C1261082
27714730	500	506	ostial	T030	C0444567
27714730	508	512	LMCA	T023	C1261082
27714730	513	519	distal	T082	C0205108
27714730	521	531	LAD ostial	T023	C3898617
27714730	536	539	LCX	T023	C0815994
27714730	540	546	ostial	T030	C0444567
27714730	575	579	LMCA	T023	C1261082
27714730	580	598	bifurcation angles	T082	C1254362
27714730	600	602	BA	T082	C1254362
27714730	619	623	LMCA	T023	C1261082
27714730	626	629	LCX	T023	C0815994
27714730	630	632	BA	T082	C1254362
27714730	634	638	LMCA	T023	C1261082
27714730	641	644	LAD	T023	C3898617
27714730	645	647	BA	T082	C1254362
27714730	649	652	LAD	T023	C3898617
27714730	655	658	LCX	T023	C0815994
27714730	659	661	BA	T082	C1254362
