27563025|t|The construction of three-dimensional composite fibrous macrostructures with nanotextures for biomedical applications
27563025|a|The development of modern biomedical nanotechnology requires three-dimensional macrostructures with nanotextures to meet the requirements for practical applications in intricate biological systems. Additionally, the restoration and regeneration of some specific body tissues and organs rely on the function of conductive polymers, which can provide electrical cues for cells. In this study, we fabricated three-dimensional composite nanofibre macrostructures of polycaprolactone (PCL) with different concentrations of polyaniline (PANi) by employing an improved electrospinning technology with a specially designed collector. The 3D structures possessed cap-like macrostructures with centimetre-scale thickness and interconnected pore nanotextures with nanometre-scale nanofibres. To estimate the biocompatibility of the 3D PCL / PANi composite nanofibre macrostructures, mouse myoblasts (C2C12 cells) were cultured as model cells. The initial responses of C2C12 cells to the 3D PCL / PANi composite macrostructures were significantly superior to those to pure PCL, that is, the cells exhibited typical myoblast-like morphologies with obvious pseudopodia and the moderate incorporation (less than 2.0 wt%) of conductive PANi facilitated cell proliferation, which indicated that PANi has appreciable cell affinity. Moreover, the addition of conductive PANi to the 3D composite nanofibre macrostructures considerably enhanced myoblast differentiation and myotube maturation. These results suggest that electrospun 3D PCL / PANi composite nanofibre macrostructures would have promising applications in tissue engineering.
27563025	4	16	construction	T052	C1521827
27563025	20	37	three-dimensional	T082	C0450363
27563025	38	47	composite	T122	C0009570
27563025	48	55	fibrous	T080	C0439709
27563025	56	71	macrostructures	T082	C0678594
27563025	72	89	with nanotextures	T080	C0449582
27563025	94	104	biomedical	T091	C1879848
27563025	105	117	applications	T169	C4048755
27563025	144	154	biomedical	T091	C1879848
27563025	155	169	nanotechnology	T090	C0872323
27563025	179	196	three-dimensional	T082	C0450363
27563025	197	212	macrostructures	T082	C0678594
27563025	213	230	with nanotextures	T080	C0449582
27563025	270	282	applications	T169	C4048755
27563025	296	314	biological systems	T022	C0460002
27563025	334	345	restoration	UnknownType	C0678689
27563025	350	362	regeneration	T040	C0815081
27563025	380	392	body tissues	T024	C0040300
27563025	397	403	organs	T023	C0178784
27563025	428	447	conductive polymers	T104,T122	C0032521
27563025	467	477	electrical	T169	C0442828
27563025	478	482	cues	T078	C0010439
27563025	487	492	cells	T025	C0007634
27563025	523	540	three-dimensional	T082	C0450363
27563025	541	550	composite	T122	C0009570
27563025	551	560	nanofibre	T073	C1881960
27563025	561	576	macrostructures	T082	C0678594
27563025	580	596	polycaprolactone	T109	C0137734
27563025	598	601	PCL	T109	C0137734
27563025	618	632	concentrations	T081	C1446561
27563025	636	647	polyaniline	T109	C0962453
27563025	649	653	PANi	T109	C0962453
27563025	680	706	electrospinning technology	T169	C0449851
27563025	748	750	3D	T082	C0450363
27563025	751	761	structures	T082	C0678594
27563025	772	796	cap-like macrostructures	T082	C0678594
27563025	802	818	centimetre-scale	T081	C0475210
27563025	819	828	thickness	T080	C1280412
27563025	848	865	pore nanotextures	T080	C0449582
27563025	871	886	nanometre-scale	T081	C0439202
27563025	887	897	nanofibres	T073	C1881960
27563025	915	931	biocompatibility	T044	C0596177
27563025	939	941	3D	T082	C0450363
27563025	942	945	PCL	T109	C0137734
27563025	948	952	PANi	T109	C0962453
27563025	953	962	composite	T122	C0009570
27563025	963	972	nanofibre	T073	C1881960
27563025	973	988	macrostructures	T082	C0678594
27563025	990	995	mouse	T015	C0025929
27563025	996	1005	myoblasts	T025	C0596995
27563025	1007	1018	C2C12 cells	T025	C0596995
27563025	1037	1042	model	T050	C2986594
27563025	1043	1048	cells	T025	C0007634
27563025	1075	1086	C2C12 cells	T025	C0596995
27563025	1094	1096	3D	T082	C0450363
27563025	1097	1100	PCL	T109	C0137734
27563025	1103	1107	PANi	T109	C0962453
27563025	1108	1117	composite	T122	C0009570
27563025	1118	1133	macrostructures	T082	C0678594
27563025	1179	1182	PCL	T109	C0137734
27563025	1197	1202	cells	T025	C0007634
27563025	1221	1247	myoblast-like morphologies	T080	C0332437
27563025	1261	1272	pseudopodia	T026	C0033827
27563025	1338	1342	PANi	T109	C0962453
27563025	1355	1373	cell proliferation	T043	C0596290
27563025	1396	1400	PANi	T109	C0962453
27563025	1417	1430	cell affinity	T038	C3714634
27563025	1458	1468	conductive	T080	C0205556
27563025	1469	1473	PANi	T109	C0962453
27563025	1481	1483	3D	T082	C0450363
27563025	1484	1493	composite	T122	C0009570
27563025	1494	1503	nanofibre	T073	C1881960
27563025	1504	1519	macrostructures	T082	C0678594
27563025	1542	1566	myoblast differentiation	T043	C1159966
27563025	1571	1589	myotube maturation	T043	C2265916
27563025	1618	1629	electrospun	T080	C0205556
27563025	1630	1632	3D	T082	C0450363
27563025	1633	1636	PCL	T109	C0137734
27563025	1639	1643	PANi	T109	C0962453
27563025	1644	1653	composite	T122	C0009570
27563025	1654	1663	nanofibre	T073	C1881960
27563025	1664	1679	macrostructures	T082	C0678594
27563025	1664	1679	macrostructures	T082	C0678594
27563025	1701	1713	applications	T169	C4048755
27563025	1717	1735	tissue engineering	T061	C0596171
