27611704|t|High Transferability of Homoeolog-Specific Markers between Bread Wheat and Newly Synthesized Hexaploid Wheat Lines
27611704|a|Bread wheat (Triticum aestivum, 2n = 6x = 42, AABBDD) has a complex allohexaploid genome, which makes it difficult to differentiate between the homoeologous sequences and assign them to the chromosome A, B, or D subgenomes. The chromosome -based draft genome sequence of the ' Chinese Spring ' common wheat cultivar enables the large-scale development of polymerase chain reaction (PCR)-based markers specific for homoeologs. Based on high-confidence ' Chinese Spring ' genes with known functions, we developed 183 putative homoeolog-specific markers for chromosomes 4B and 7B. These markers were used in PCR assays for the 4B and 7B nullisomes and their euploid synthetic hexaploid wheat (SHW) line that was newly generated from a hybridization between Triticum turgidum (AABB) and the wild diploid species Aegilops tauschii (DD). Up to 64% of the markers for chromosomes 4B or 7B in the SHW background were confirmed to be homoeolog-specific. Thus, these markers were highly transferable between the ' Chinese Spring ' bread wheat and SHW lines. Homoeolog-specific markers designed using genes with known functions may be useful for genetic investigations involving homoeologous chromosome tracking and homoeolog expression and interaction analyses.
27611704	5	20	Transferability	T080	C0205556
27611704	24	50	Homoeolog-Specific Markers	T045	C0017393
27611704	59	64	Bread	T168	C0006138
27611704	65	70	Wheat	T168	C0043137
27611704	81	92	Synthesized	T052	C1883254
27611704	93	114	Hexaploid Wheat Lines	T168	C0043137
27611704	115	120	Bread	T168	C0006138
27611704	121	126	wheat	T168	C0043137
27611704	128	145	Triticum aestivum	T002	C1123020
27611704	183	203	allohexaploid genome	T028	C0017428
27611704	233	246	differentiate	T169	C2945687
27611704	259	281	homoeologous sequences	T085	C0162774
27611704	305	317	chromosome A	T026	C0008633
27611704	319	320	B	T026	C0008633
27611704	325	326	D	T026	C0008633
27611704	327	337	subgenomes	T028	C0017428
27611704	343	353	chromosome	T026	C0008633
27611704	367	373	genome	T028	C0017428
27611704	374	382	sequence	T086	C0004793
27611704	392	406	Chinese Spring	T168	C0043137
27611704	416	430	wheat cultivar	T168	C0043137
27611704	455	466	development	T169	C1527148
27611704	470	495	polymerase chain reaction	T063	C0032520
27611704	497	500	PCR	T063	C0032520
27611704	508	515	markers	T045	C0017393
27611704	568	582	Chinese Spring	T168	C0043137
27611704	585	590	genes	T028	C0017337
27611704	639	665	homoeolog-specific markers	T045	C0017393
27611704	670	684	chromosomes 4B	T026	C0008633
27611704	689	691	7B	T026	C0008633
27611704	699	706	markers	T045	C0017393
27611704	720	730	PCR assays	T063	C0032520
27611704	739	741	4B	T026	C0008633
27611704	746	748	7B	T026	C0008633
27611704	778	814	synthetic hexaploid wheat (SHW) line	T168	C0043137
27611704	847	860	hybridization	T070	C0376343
27611704	869	886	Triticum turgidum	T002	C0997189
27611704	907	922	diploid species	T025	C1257909
27611704	923	940	Aegilops tauschii	T002	C1007013
27611704	964	971	markers	T045	C0017393
27611704	976	990	chromosomes 4B	T026	C0008633
27611704	994	996	7B	T026	C0008633
27611704	1004	1007	SHW	T168	C0043137
27611704	1072	1079	markers	T045	C0017393
27611704	1119	1133	Chinese Spring	T168	C0043137
27611704	1136	1141	bread	T168	C0006138
27611704	1142	1147	wheat	T168	C0043137
27611704	1152	1161	SHW lines	T168	C0043137
27611704	1163	1189	Homoeolog-specific markers	T045	C0017393
27611704	1205	1210	genes	T028	C0017337
27611704	1250	1272	genetic investigations	T059	C0796344
27611704	1296	1306	chromosome	T026	C0008633
27611704	1330	1340	expression	T045	C0017262
