28286688|t|Beneficial Effects on Pregnancy Outcomes of Thyroid Hormone Replacement for Subclinical Hypothyroidism
28286688|a|Background. Hypothyroidism and raised thyroid antibody levels have been associated with adverse obstetrical outcomes. Several studies have investigated causal associations, but results have been inconsistent and few studies have reported the effects of thyroxine replacement therapy on pregnancy outcomes in hypothyroid patients. Objective. The primary study objective was to determine the outcome of pregnancies in women diagnosed with overt and subclinical hypothyroidism (SCH) (serum TSH > 2.5 mIU/L) and those with elevated circulating thyroid autoantibody levels in the first trimester of pregnancy and after the institution of appropriate thyroxine replacement therapy to maintain the serum TSH ≤ 2.5 mIU/L. Study Design. This prospective observational study was undertaken between 2013 and 2016. Blood samples were taken from 1025 women at presentation for thyroid stimulating hormone (TSH), anti-thyroglobulin antibodies (TGAb), and thyroid peroxidase antibodies (TPOAb). Those with a TSH > 2.5 mIU/L were treated with thyroxine and managed appropriately to ensure that the TSH was maintained ≤2.5 mIU/L. Outcomes in these patients were compared to those in euthyroid patients. Maternal antenatal complications and perinatal outcomes were recorded. Results. There were a total of 1025 patients of whom 382 (37.5%) were nulliparous. 10.1% had a TSH level > 2.5 mIU/L and 18.2% had at least one raised thyroid antibody level. No differences in adverse outcomes of pregnancy were evident in women treated for SCH or overt hypothyroidism compared to the euthyroid group. There was also no association between raised thyroid antibodies and adverse pregnancy outcomes in either group. Conclusion. There were no adverse outcomes of pregnancy found in pregnant women who had been diagnosed and treated with thyroxine for SCH at the time of presentation when compared to euthyroid patients. There was also no relationship with thyroid antibodies and adverse pregnancy outcomes in the two groups. It is not possible to unequivocally advocate for thyroxine replacement in pregnant women with subclinical and overt hypothyroidism until large scale randomized controlled trials are performed.
28286688	0	18	Beneficial Effects	T081	C0814225
28286688	22	40	Pregnancy Outcomes	T033	C0032972
28286688	44	71	Thyroid Hormone Replacement	T061	C2242640
28286688	76	102	Subclinical Hypothyroidism	T047	C0271790
28286688	115	129	Hypothyroidism	T047	C0020676
28286688	134	140	raised	T080	C0442818
28286688	141	157	thyroid antibody	T116,T129	C0700384
28286688	158	164	levels	T080	C0441889
28286688	191	198	adverse	T046	C0559546
28286688	199	219	obstetrical outcomes	T046	C0206277
28286688	229	236	studies	T062	C2603343
28286688	242	254	investigated	T169	C1292732
28286688	280	287	results	T033	C0683954
28286688	298	310	inconsistent	T080	C0442809
28286688	319	326	studies	T062	C2603343
28286688	356	385	thyroxine replacement therapy	T061	C2242640
28286688	389	407	pregnancy outcomes	T033	C0032972
28286688	411	422	hypothyroid	T047	C0020676
28286688	423	431	patients	T101	C0030705
28286688	456	471	study objective	T078	C2985627
28286688	493	515	outcome of pregnancies	T033	C0032972
28286688	519	524	women	T098	C0043210
28286688	525	534	diagnosed	T033	C0011900
28286688	540	545	overt	T078	C0750489
28286688	550	576	subclinical hypothyroidism	T047	C0271790
28286688	578	581	SCH	T047	C0271790
28286688	584	593	serum TSH	T059	C1277938
28286688	622	630	elevated	T080	C3163633
28286688	631	642	circulating	T169	C0175630
28286688	643	663	thyroid autoantibody	T116,T129	C0700384
28286688	664	670	levels	T080	C0441889
28286688	678	706	first trimester of pregnancy	T079	C0032979
28286688	748	777	thyroxine replacement therapy	T061	C2242640
28286688	794	803	serum TSH	T059	C1277938
28286688	836	847	prospective	T062	C0033522
28286688	848	867	observational study	T062	C1518527
28286688	906	919	Blood samples	T031	C0178913
28286688	941	946	women	T098	C0043210
28286688	967	994	thyroid stimulating hormone	T116,T121,T125	C0040160
28286688	996	999	TSH	T116,T121,T125	C0040160
28286688	1002	1031	anti-thyroglobulin antibodies	T116,T129	C0443883
28286688	1033	1037	TGAb	T116,T129	C0443883
28286688	1044	1073	thyroid peroxidase antibodies	T116,T129	C0076635
28286688	1075	1080	TPOAb	T116,T129	C0076635
28286688	1096	1099	TSH	T116,T121,T125	C0040160
28286688	1117	1129	treated with	T061	C0332293
28286688	1130	1139	thyroxine	T116,T121,T125	C0040165
28286688	1185	1188	TSH	T116,T121,T125	C0040160
28286688	1193	1203	maintained	T169	C1314677
28286688	1216	1224	Outcomes	T080	C0085415
28286688	1234	1242	patients	T101	C0030705
28286688	1269	1278	euthyroid	T033	C0117002
28286688	1279	1287	patients	T101	C0030705
28286688	1289	1297	Maternal	T099	C0026591
28286688	1298	1307	antenatal	T079	C2828394
28286688	1308	1321	complications	T046	C0009566
28286688	1326	1335	perinatal	T079	C0178795
28286688	1336	1344	outcomes	T080	C0085415
28286688	1396	1404	patients	T101	C0030705
28286688	1430	1441	nulliparous	T033	C0425979
28286688	1455	1458	TSH	T116,T121,T125	C0040160
28286688	1459	1464	level	T080	C0441889
