28435038|t|A convergent synthesis of novel alkyne-azide cycloaddition congeners of betulinic acid as potent cytotoxic agent
28435038|a|In an endeavour to develop potent anti-tumor agents from betulinic acid (BA), a series of C-28 derived 1,2,3-triazolyl derivatives were designed and synthesized by employing Cu(I) catalyzed Huisgen 1,3-dipolar cycloaddition reaction. All the derivatives were evaluated for cytotoxic activity by MTT assay against five different human cancer cell lines: lung (A549), colon (HCT116), prostate (PC3), pancreatic (MIA PaCa-2) and breast (T47D). The data revealed that compounds 11c, 11d, 11g, 11h and 13a possess most promising cytotoxic potential. The compound 11h was one of the most active compounds, with IC50 values in the range of 4-6µM against all the five cancer cell lines. The results of this study suggested that derivatives with free -OH (11c, 11d and 11g) and free -COOH (11h and 13a) substitutions in the triazole moiety introduced at the C-28 position significantly improved the anti-tumor activity and may be the favourable position to synthesize potent anticancer leads from BA. Introduction of a non polar alkyl groups at C-28 position (10, 12 and 14) resulted in the significant loss of the activity. Further, DAPI staining, ROS generation and wound healing experiments revealed that compound 11h induces apoptosis in HCT-116 cells.
28435038	2	22	convergent synthesis	T070	C0007987
28435038	32	58	alkyne-azide cycloaddition	T067	C0598128
28435038	59	68	congeners	T104	C0678518
28435038	72	86	betulinic acid	T109,T121	C0053530
28435038	97	112	cytotoxic agent	T121	C0304497
28435038	147	164	anti-tumor agents	T109,T121	C0003392
28435038	170	184	betulinic acid	T109,T121	C0053530
28435038	186	188	BA	T109,T121	C0053530
28435038	216	243	1,2,3-triazolyl derivatives	T109	C0040880
28435038	287	292	Cu(I)	T121,T123,T196	C0009968
28435038	303	345	Huisgen 1,3-dipolar cycloaddition reaction	T067	C0598128
28435038	386	404	cytotoxic activity	T033	C0243095
28435038	408	417	MTT assay	T062	C2986858
28435038	441	446	human	T016	C0086418
28435038	447	464	cancer cell lines	T025	C0085983
28435038	466	477	lung (A549)	T025	C4277577
28435038	479	493	colon (HCT116)	T025	C1258005
28435038	495	508	prostate (PC3	T025	C0085983
28435038	511	534	pancreatic (MIA PaCa-2)	T025	C0085983
28435038	539	552	breast (T47D)	T025	C1512505
28435038	558	562	data	T078	C1511726
28435038	577	590	compounds 11c	T121	C1254351
28435038	592	595	11d	T121	C1254351
28435038	597	600	11g	T121	C1254351
28435038	602	605	11h	T121	C1254351
28435038	610	613	13a	T121	C1254351
28435038	637	646	cytotoxic	T049	C0596402
28435038	647	656	potential	T080	C3245505
28435038	662	674	compound 11h	T121	C1254351
28435038	695	711	active compounds	T121	C1254351
28435038	718	722	IC50	T081	C0600495
28435038	723	729	values	T080	C0042295
28435038	773	790	cancer cell lines	T025	C0085983
28435038	812	817	study	T062	C2603343
28435038	850	858	free -OH	T104	C1254350
28435038	860	863	11c	T121	C1254351
28435038	865	868	11d	T121	C1254351
28435038	873	876	11g	T121	C1254351
28435038	882	892	free -COOH	T104	C1254350
28435038	894	897	11h	T121	C1254351
28435038	902	905	13a	T121	C1254351
28435038	928	943	triazole moiety	T109	C0040880
28435038	962	975	C-28 position	T082	C0450429
28435038	1003	1022	anti-tumor activity	T033	C0243095
28435038	1038	1057	favourable position	T082	C0450429
28435038	1079	1095	anticancer leads	T121	C1254351
28435038	1101	1103	BA	T109,T121	C0053530
28435038	1123	1145	non polar alkyl groups	T104	C1254350
28435038	1149	1162	C-28 position	T082	C0450429
28435038	1164	1166	10	T121	C1254351
28435038	1168	1170	12	T121	C1254351
28435038	1175	1177	14	T121	C1254351
28435038	1207	1227	loss of the activity	T033	C0243095
28435038	1238	1242	DAPI	T109,T121	C0057142
28435038	1243	1251	staining	T059	C0487602
28435038	1253	1267	ROS generation	T038	C3894443
28435038	1272	1285	wound healing	T040	C0043240
28435038	1286	1297	experiments	T062	C0681814
28435038	1312	1324	compound 11h	T121	C1254351
28435038	1333	1342	apoptosis	T043	C0162638
28435038	1346	1359	HCT-116 cells	T025	C1258005
