28087071|t|Development of delineation for the left anterior descending coronary artery region in left breast cancer radiotherapy: An optimized organ at risk
28087071|a|The left anterior descending coronary artery (LAD) and diagonal branches (DBs) are blurred on computed tomography (CT). We aimed to define the LAD region (LADR) with adequate inclusion of the LAD and DBs and contouring consistency. The LADR was defined using coronary CT angiograms. The inclusion ratio was used to assess the LAD and DBs inclusion by the LADR. Four radiation oncologists delineated the LAD and LADR, using contrast-enhanced CT of 15 patients undergoing left breast radiotherapy. The Sørensen-Dice similarity index (DSI), Jaccard similarity index (JSI), and Hausdorff distance (HD) were calculated to assess similarity. The mean dose (Dmean) and maximum dose (Dmax) to the LAD and LADR were calculated to compare consistency. Correlations were evaluated using Pearson's correlation coefficient. The inclusion ratio of the LAD by the LADR was 96%. The mean DSI, JSI, and HD values were respectively 27.9%, 16.7%, and 0.42mm for the LAD, and 83.1%, 73.0%, and 0.18mm for the LADR. The Dmean between the LAD and LADR were strongly correlated (r=0.93). Delineation of the LADR significantly improved contouring similarity and consistency for dose reporting. This could optimize dose estimation for breast radiotherapy.
28087071	0	11	Development	T169	C1527148
28087071	15	26	delineation	T058	C1254363
28087071	35	82	left anterior descending coronary artery region	T023	C0226032
28087071	86	104	left breast cancer	T191	C4042788
28087071	105	117	radiotherapy	T091	C0243005
28087071	132	137	organ	T023	C0178784
28087071	138	145	at risk	T080	C1444641
28087071	150	190	left anterior descending coronary artery	T023	C0226032
28087071	192	195	LAD	T023	C0226032
28087071	201	218	diagonal branches	T023	C0507777
28087071	220	223	DBs	T023	C0507777
28087071	229	236	blurred	T080	C1511231
28087071	240	259	computed tomography	T060	C0040405
28087071	261	263	CT	T060	C0040405
28087071	289	299	LAD region	T023	C0226032
28087071	301	305	LADR	T023	C0226032
28087071	321	330	inclusion	T080	C1512693
28087071	338	341	LAD	T023	C0226032
28087071	346	349	DBs	T023	C0507777
28087071	365	376	consistency	T080	C0332529
28087071	382	386	LADR	T023	C0226032
28087071	405	413	coronary	T023	C0018787
28087071	414	427	CT angiograms	T060	C1536105
28087071	433	448	inclusion ratio	T081	C0456603
28087071	472	475	LAD	T023	C0226032
28087071	480	483	DBs	T023	C0507777
28087071	484	493	inclusion	T080	C1512693
28087071	501	505	LADR	T023	C0226032
28087071	512	533	radiation oncologists	T097	C1514693
28087071	534	544	delineated	T058	C1254363
28087071	549	552	LAD	T023	C0226032
28087071	557	561	LADR	T023	C0226032
28087071	569	589	contrast-enhanced CT	T060	C0040405
28087071	596	604	patients	T101	C0030705
28087071	616	627	left breast	T023	C0222601
28087071	628	640	radiotherapy	T091	C0243005
28087071	646	676	Sørensen-Dice similarity index	T081	C0392762
28087071	678	681	DSI	T081	C0392762
28087071	684	708	Jaccard similarity index	T081	C0392762
28087071	710	713	JSI	T081	C0392762
28087071	720	738	Hausdorff distance	T081	C0392762
28087071	740	742	HD	T081	C0392762
28087071	786	795	mean dose	T081	C0392762
28087071	797	802	Dmean	T081	C0392762
28087071	808	820	maximum dose	T081	C0392762
28087071	822	826	Dmax	T081	C0392762
28087071	835	838	LAD	T023	C0226032
28087071	843	847	LADR	T023	C0226032
28087071	875	886	consistency	T080	C0332529
28087071	888	900	Correlations	T081	C0010100
28087071	922	955	Pearson's correlation coefficient	T081	C0871052
28087071	961	976	inclusion ratio	T081	C0456603
28087071	984	987	LAD	T023	C0226032
28087071	995	999	LADR	T023	C0226032
28087071	1018	1021	DSI	T081	C0392762
28087071	1023	1026	JSI	T081	C0392762
28087071	1032	1034	HD	T081	C0392762
28087071	1093	1096	LAD	T023	C0226032
28087071	1135	1139	LADR	T023	C0226032
28087071	1145	1150	Dmean	T081	C0392762
28087071	1163	1166	LAD	T023	C0226032
28087071	1171	1175	LADR	T023	C0226032
28087071	1190	1200	correlated	T081	C0010100
28087071	1211	1222	Delineation	T058	C1254363
28087071	1230	1234	LADR	T023	C0226032
28087071	1269	1279	similarity	T080	C2348205
28087071	1284	1295	consistency	T080	C0332529
28087071	1300	1304	dose	T081	C0178602
28087071	1327	1335	optimize	T052	C2698650
28087071	1336	1340	dose	T081	C0178602
28087071	1341	1351	estimation	T081	C0750572
28087071	1356	1362	breast	T023	C0006141
28087071	1363	1375	radiotherapy	T091	C0243005
