28247217|t|Retrospective study of 24 cases of acute appendiceal diverticulitis: CT findings and pathological correlations
28247217|a|Appendiceal diverticulitis is relatively rare and is difficult to distinguish clinically and radiologically from acute appendicitis. The aim of this study was to describe the computed tomography (CT) findings of acute appendiceal diverticulitis. Among the 1329 patients who underwent appendectomy at our institution between January 2010 and July 2015, 28 were diagnosed pathologically with appendiceal diverticulitis, including 24 patients who were evaluated by preoperative CT. The control group consisted of 38 patients without diverticulitis. Average age of patients, ratio of males to females, appendiceal diameter, presence of a diverticulum, diverticular enhancement, peri-appendiceal fat stranding, peri-appendiceal loculated fluid and perforation, and the presence of appendicolith were evaluated retrospectively. Peri-appendiceal fat stranding (p < 0.005), appendiceal diameter (p < 0.005), and peri-appendiceal loculated fluid differed significantly between the diverticulitis and non - diverticulitis groups (p < 0.005). Although relatively uncommon, appendiceal diverticulitis should be included in the differential diagnosis of acute appendicitis. It differs from typical acute appendicitis by the presence of an inflamed diverticulum, seen on CT. These patients are also more likely to have peri-appendiceal extra-luminal loculated fluid, peri-appendiceal fat stranding, and a larger diameter of the appendix. The latter finding is likely due to the increased intraluminal pressure.
28247217	0	19	Retrospective study	T062	C0035363
28247217	35	40	acute	T079	C0205178
28247217	41	52	appendiceal	T023	C0003617
28247217	53	68	diverticulitis:	T047	C0012813
28247217	69	71	CT	T060	C0040405
28247217	85	97	pathological	T169	C0205469
28247217	98	110	correlations	T080	C1707520
28247217	111	122	Appendiceal	T023	C0003617
28247217	123	137	diverticulitis	T047	C0012813
28247217	164	173	difficult	T080	C0332218
28247217	189	199	clinically	T080	C0205210
28247217	204	218	radiologically	UnknownType	C0748230
28247217	224	242	acute appendicitis	T047	C0085693
28247217	286	305	computed tomography	T060	C0040405
28247217	306	309	(CT	T060	C0040405
28247217	323	328	acute	T079	C0205178
28247217	329	340	appendiceal	T023	C0003617
28247217	341	355	diverticulitis	T047	C0012813
28247217	372	380	patients	T101	C0030705
28247217	395	407	appendectomy	T061	C0003611
28247217	415	426	institution	T093	C2607850
28247217	471	480	diagnosed	T033	C0011900
28247217	481	495	pathologically	T169	C0205469
28247217	501	512	appendiceal	T023	C0003617
28247217	513	527	diverticulitis	T047	C0012813
28247217	542	550	patients	T101	C0030705
28247217	560	569	evaluated	T058	C0220825
28247217	573	585	preoperative	T079	C0445204
28247217	586	588	CT	T060	C0040405
28247217	594	607	control group	T096	C0009932
28247217	624	632	patients	T101	C0030705
28247217	633	640	without	T080	C0332288
28247217	641	655	diverticulitis	T047	C0012813
28247217	672	680	patients	T101	C0030705
28247217	682	707	ratio of males to females	T033	C0243095
28247217	709	720	appendiceal	T023	C0003617
28247217	721	729	diameter	T081	C1301886
28247217	731	739	presence	T033	C0150312
28247217	745	757	diverticulum	T046	C0012817
28247217	759	771	diverticular	T046	C0012817
28247217	772	783	enhancement	T052	C2349975
28247217	785	801	peri-appendiceal	T023	C0003617
28247217	802	815	fat stranding	T033	C0243095
28247217	817	833	peri-appendiceal	T023	C0003617
28247217	834	843	loculated	T080	C0205277
28247217	844	849	fluid	T031	C0005889
28247217	854	865	perforation	T033	C0549099
28247217	875	883	presence	T033	C0150312
28247217	887	900	appendicolith	T047	C3805175
28247217	906	915	evaluated	T058	C0220825
28247217	933	949	Peri-appendiceal	T023	C0003617
28247217	950	963	fat stranding	T033	C0243095
28247217	977	988	appendiceal	T023	C0003617
28247217	989	997	diameter	T081	C1301886
28247217	1015	1031	peri-appendiceal	T023	C0003617
28247217	1032	1041	loculated	T080	C0205277
28247217	1042	1047	fluid	T031	C0005889
28247217	1083	1097	diverticulitis	T047	C0012813
28247217	1102	1105	non	T169	C1518422
28247217	1108	1122	diverticulitis	T047	C0012813
28247217	1123	1129	groups	T078	C0441833
28247217	1163	1171	uncommon	T080	C0522498
28247217	1173	1184	appendiceal	T023	C0003617
28247217	1185	1199	diverticulitis	T047	C0012813
28247217	1210	1218	included	T169	C0332257
28247217	1226	1248	differential diagnosis	T060	C0011906
28247217	1252	1270	acute appendicitis	T047	C0085693
28247217	1288	1295	typical	T080	C3538928
28247217	1296	1314	acute appendicitis	T047	C0085693
28247217	1322	1330	presence	T033	C0150312
28247217	1337	1345	inflamed	T169	C0333348
28247217	1346	1358	diverticulum	T046	C0012817
28247217	1368	1370	CT	T060	C0040405
28247217	1378	1386	patients	T101	C0030705
28247217	1416	1432	peri-appendiceal	T023	C0003617
28247217	1433	1446	extra-luminal	T082	C0524462
28247217	1447	1456	loculated	T080	C0205277
28247217	1457	1462	fluid	T031	C0005889
28247217	1464	1480	peri-appendiceal	T023	C0003617
28247217	1481	1494	fat stranding	T033	C0243095
28247217	1502	1508	larger	T081	C1704243
28247217	1509	1517	diameter	T081	C1301886
28247217	1525	1533	appendix	T023	C0003617
28247217	1575	1584	increased	T081	C0205217
28247217	1585	1597	intraluminal	T082	C0442115
28247217	1598	1606	pressure	T169	C1306345
