27435835|t|An HIV - tailored quit - smoking counselling pilot intervention targeting depressive symptoms plus Nicotine Replacement Therapy
27435835|a|Cardiovascular disease (CVD) rates among people living with HIV/AIDS (PHAs) are high. Rates of cigarette smoking, a leading contributor to CVD among PHAs, are 40-70% (2-3 times higher than the general population). Furthermore, PHAs have high rates of depression (40-60%), a risk factor for smoking cessation relapse. The current pilot study examined the effectiveness of a specifically tailored 5- session smoking cessation counselling programme for PHAs, which addressed depression, in combination with Nicotine Replacement Therapy (NRT) in a cohort of PHA smokers (n = 50). At 6- month follow-up, 28% of participants demonstrated biochemically verified abstinence from smoking. This result compares favourably to other quit - smoking intervention studies, particularly given the high percentage of HIV+ smokers with depression. At study baseline, 52% of HIV+ smokers scored above the clinical cut-off for depression on the Centre for Epidemiological Studies - Depression (CES-D) scale. HIV+ smokers with depression at study baseline demonstrated quantitatively lower depression at 6- month follow-up with a large effect size (d = 1), though it did not reach statistical significance (p = .058). Furthermore, those with depression were no more likely to relapse than those without depression (p = .33), suggesting that our counselling programme adequately addressed this significant barrier to smoking cessation among PHAs. Our pilot study indicates the importance of tailored programmes to help PHAs quit smoking, the significance of addressing depressive symptoms, and the need for tailored counselling programmes to enhance quit rates among PHAs.
27435835	3	6	HIV	T005	C0019682
27435835	9	17	tailored	T058	C2986593
27435835	18	22	quit	T052	C1947925
27435835	25	32	smoking	T055	C0037369
27435835	33	44	counselling	T058	C0010210
27435835	45	50	pilot	T062	C0031928
27435835	51	63	intervention	T061	C0184661
27435835	64	73	targeting	T169	C1521840
27435835	74	93	depressive symptoms	T184	C0086132
27435835	99	127	Nicotine Replacement Therapy	T061	C1278444
27435835	128	150	Cardiovascular disease	T047	C0007222
27435835	152	155	CVD	T047	C0007222
27435835	157	162	rates	T081	C0026538
27435835	169	175	people	T098	C0027361
27435835	176	196	living with HIV/AIDS	T101	C2963182
27435835	198	202	PHAs	T101	C2963182
27435835	208	212	high	T080	C0205250
27435835	214	219	Rates	T081	C1521828
27435835	223	240	cigarette smoking	T055	C0700219
27435835	244	251	leading	T169	C1522538
27435835	252	263	contributor	T052	C1880177
27435835	267	270	CVD	T047	C0007222
27435835	277	281	PHAs	T101	C2963182
27435835	305	311	higher	T080	C0205250
27435835	321	339	general population	T098	C0683971
27435835	355	359	PHAs	T101	C2963182
27435835	365	369	high	T080	C0205250
27435835	370	375	rates	T081	C1521828
27435835	379	389	depression	T048	C0011570
27435835	402	413	risk factor	T033	C0035648
27435835	418	425	smoking	T055	C0037369
27435835	426	435	cessation	T052	C1880019
27435835	436	443	relapse	T067	C0035020
27435835	457	468	pilot study	T062	C0031928
