27768814|t|Non-specific transient mutualism between the plant parasitic nematode, Bursaphelenchus xylophilus, and the opportunistic bacterium Serratia quinivorans BXF1, a plant-growth promoting pine endophyte with antagonistic effects
27768814|a|The aim of this study is to understand the biological role of Serratia quinivorans BXF1, a bacterium commonly found associated with Bursaphelenchus xylophilus, the plant parasitic nematode responsible for pine wilt disease. Therefore, we studied strain BXF1 effect in pine wilt disease. We found that strain BXF1 promoted in vitro nematode reproduction. Moreover, the presence of bacteria led to the absence of nematode chitinase gene (Bxcht-1) expression, suggesting an effect for bacterial chitinase in nematode reproduction. Nevertheless, strain BXF1 was unable to colonize the nematode interior, bind to its cuticle with high affinity or protect the nematode from xenobiotic stress. Interestingly, strain BXF1 was able to promote tomato and pine plant-growth, as well as to colonize its interior, thus, acting like a plant-growth promoting endophyte. Consequently, strain BXF1 failed to induce wilting symptoms when inoculated in pine shoot artificial incisions. This bacterium also presented strong antagonistic activities against fungi and bacteria isolated from Pinus pinaster. Our results suggest that B. xylophilus does not possess a strict symbiotic community capable of inducing pine wilt disease symptoms as previously hypothesized. We show that bacteria like BXF1, which possess plant-growth promoting and antagonistic effects, may be opportunistically associated with B. xylophilus, possibly acquired from the bacterial endophytic community of the host pine.
27768814	23	32	mutualism	T070	C0599514
27768814	45	69	plant parasitic nematode	T204	C0321773
27768814	71	97	Bursaphelenchus xylophilus	T204	C0997987
27768814	121	130	bacterium	T007	C0004611
27768814	131	156	Serratia quinivorans BXF1	T007	C0445754
27768814	160	172	plant-growth	T040	C0597252
27768814	183	187	pine	T002	C0330186
27768814	188	197	endophyte	T004	C1265415
27768814	203	215	antagonistic	T120	C0243076
27768814	216	223	effects	T080	C1280500
27768814	240	245	study	T062	C2603343
27768814	286	311	Serratia quinivorans BXF1	T007	C0445754
27768814	315	324	bacterium	T007	C0004611
27768814	356	382	Bursaphelenchus xylophilus	T204	C0997987
27768814	388	412	plant parasitic nematode	T204	C0321773
27768814	429	433	pine	T002	C0330186
27768814	434	446	wilt disease	T047	C0032080
27768814	470	481	strain BXF1	T007	C0445754
27768814	492	496	pine	T002	C0330186
27768814	497	509	wilt disease	T047	C0032080
27768814	525	536	strain BXF1	T007	C0445754
27768814	546	554	in vitro	T080	C1533691
27768814	555	563	nematode	T204	C1704319
27768814	564	576	reproduction	T040	C0035150
27768814	604	612	bacteria	T007	C0004611
27768814	635	643	nematode	T204	C1704319
27768814	644	668	chitinase gene (Bxcht-1)	T028	C0017337
27768814	669	679	expression	T045	C0017262
27768814	706	715	bacterial	T007	C0004611
27768814	716	725	chitinase	T116,T126	C0008145
27768814	729	737	nematode	T204	C1704319
27768814	738	750	reproduction	T040	C0035150
27768814	766	777	strain BXF1	T007	C0445754
27768814	792	800	colonize	T033	C4289767
27768814	805	813	nematode	T204	C1704319
27768814	836	843	cuticle	T023	C0596796
27768814	878	886	nematode	T204	C1704319
27768814	892	902	xenobiotic	T123,T131	C0043335
27768814	903	909	stress	T046	C0449430
27768814	926	937	strain BXF1	T007	C0445754
27768814	958	964	tomato	T002	C0032098
27768814	969	973	pine	T002	C0330186
27768814	974	986	plant-growth	T040	C0597252
27768814	1002	1010	colonize	T033	C4289767
27768814	1045	1057	plant-growth	T040	C0597252
27768814	1068	1077	endophyte	T004	C1265415
27768814	1093	1104	strain BXF1	T007	C0445754
27768814	1122	1138	wilting symptoms	T184	C1457887
27768814	1158	1162	pine	T002	C0330186
27768814	1163	1168	shoot	T002	C2700376
27768814	1169	1189	artificial incisions	T169	C3496294
27768814	1196	1205	bacterium	T007	C0004611
27768814	1228	1240	antagonistic	T120	C0243076
27768814	1241	1251	activities	T052	C0441655
27768814	1260	1265	fungi	T004	C0016832
27768814	1270	1278	bacteria	T007	C0004611
27768814	1293	1307	Pinus pinaster	T002	C1028819
27768814	1334	1347	B. xylophilus	T204	C0997987
27768814	1374	1393	symbiotic community	T001	C0562641
27768814	1414	1418	pine	T002	C0330186
27768814	1419	1431	wilt disease	T047	C0032080
27768814	1432	1440	symptoms	T184	C1457887
27768814	1482	1490	bacteria	T007	C0004611
27768814	1496	1500	BXF1	T007	C0445754
27768814	1516	1528	plant-growth	T040	C0597252
27768814	1543	1555	antagonistic	T120	C0243076
27768814	1556	1563	effects	T080	C1280500
27768814	1606	1619	B. xylophilus	T204	C0997987
27768814	1648	1657	bacterial	T007	C0004611
27768814	1658	1678	endophytic community	T004	C1265415
27768814	1686	1690	host	T001	C1167395
27768814	1691	1695	pine	T002	C0330186
