28070808|t|Combined positive effect of oocyte extracts and brilliant cresyl blue stained recipient cytoplasts on epigenetic reprogramming and gene expression in buffalo nuclear transfer embryos
28070808|a|This study examined the effects of buffalo oocyte extracts (BOE) on donor cells reprogramming and molecular characterisation of oocytes screened via brilliant cresyl blue (BCB) staining and comparison of gene expression profiles of developmentally important genes in blastocysts from IVF and cloned derived from BOE treated donor cells with BCB selected recipient cytoplasts. Relative abundance (RA) of OCT4 and NANOG was increased (P < 0.05) and HDAC-1, DNMT-1, and DNMT-3A decreased (P < 0.05) in extract treated cells (ETCs). This ETCs dedifferentiated into neuron -like lineage under appropriate induction condition. The RA of NASP, EEF1A1, DNMT1, ODC1 and RPS27A was increased (P < 0.05) in BCB + oocytes, whereas ATP5A1 and S100A10 increased (P < 0.05) in BCB - oocytes. Total cell number and RA of OCT4, NANOG, SOX2, DNMT1, IGF2, IGF2R, MNSOD, GLUT1, BAX and BCL2 in cloned blastocysts derived from BCB + oocytes with ETC more closely followed that of IVF counterparts compared to BCB + oocytes with extract untreated cell and BCB - oocytes with ETC derived blastocysts. In conclusion, BOE influenced epigenetic reprogramming of buffalo fibroblasts making them suitable donors for nuclear transfer (NT). BCB staining can be effectively used for selection of developmentally competent oocytes for NT. The combined effects of epigenetic reprogramming of donor nuclei by BOE and higher nuclear reprogramming capacity of BCB + oocytes improve developmentally important gene expression in cloned blastocysts. Whether these improvements have long-term effects on buffalo calves born following embryo transfer remains unknown.
28070808	9	27	positive effect of	T033	C0243095
28070808	28	34	oocyte	T025	C0029045
28070808	35	43	extracts	T026	C0007592
28070808	48	77	brilliant cresyl blue stained	T059	C1318930
28070808	88	98	cytoplasts	T025	C0007634
28070808	102	126	epigenetic reprogramming	T062	C1721050
28070808	131	146	gene expression	T045	C0017262
28070808	150	157	buffalo	T015	C0006352
28070808	158	174	nuclear transfer	T043	C0872070
28070808	175	182	embryos	T018	C0013935
28070808	207	217	effects of	T080	C1704420
28070808	218	225	buffalo	T015	C0006352
28070808	226	232	oocyte	T025	C0029045
28070808	233	241	extracts	T026	C0007592
28070808	243	246	BOE	T026	C0007592
28070808	251	276	donor cells reprogramming	T043	C3850096
28070808	281	307	molecular characterisation	T063	C1513380
28070808	311	318	oocytes	T025	C0029045
28070808	332	368	brilliant cresyl blue (BCB) staining	T059	C1318930
28070808	387	411	gene expression profiles	T081	C1956267
28070808	415	430	developmentally	T080	C0458003
28070808	441	446	genes	T028	C0017337
28070808	450	461	blastocysts	T018	C1281743
28070808	467	470	IVF	T061	C0015915
28070808	475	481	cloned	T025	C0009013
28070808	495	498	BOE	T026	C0007592
28070808	499	506	treated	T169	C1522326
28070808	507	518	donor cells	T025	C0007634
28070808	524	527	BCB	T109,T130	C0054052
28070808	547	557	cytoplasts	T025	C0007634
28070808	559	577	Relative abundance	T080	C2346714
28070808	579	581	RA	T080	C2346714
28070808	586	590	OCT4	T028	C1418768
28070808	595	600	NANOG	T028	C1427164
28070808	630	636	HDAC-1	T028	C1333891
28070808	638	644	DNMT-1	T028	C1414121
28070808	650	657	DNMT-3A	T028	C1414123
28070808	682	703	extract treated cells	T025	C0007634
28070808	705	709	ETCs	T025	C0007634
28070808	717	721	ETCs	T025	C0007634
28070808	722	738	dedifferentiated	T043	C0598087
28070808	744	750	neuron	T025	C0027882
28070808	757	764	lineage	T078	C0282637
28070808	783	802	induction condition	T043	C0013947
28070808	808	810	RA	T080	C2346714
28070808	814	818	NASP	T028	C1417601
28070808	820	826	EEF1A1	T028	C1414270
28070808	828	833	DNMT1	T028	C1414121
28070808	835	839	ODC1	T028	C1417932
28070808	844	850	RPS27A	T028	C1419730
28070808	879	882	BCB	T109,T130	C0054052
28070808	885	892	oocytes	T025	C0029045
28070808	902	908	ATP5A1	T028	C1412647
28070808	913	920	S100A10	T028	C1419782
