27614652|t|In situ stabilization of heavy metals in multiple- metal contaminated paddy soil using different steel slag -based silicon fertilizer
27614652|a|Steel slag has been widely used as amendment and silicon fertilizer to alleviate the mobility and bioavailability of heavy metals in soil. The objective of this study was to evaluate the influence of particle size, composition, and application rate of slag on metal immobilization in acidic soil, metals uptake by rice and rice growth. The results indicated that application of slag increased soil pH, plant -available silicon concentrations in soil, and decreased the bioavailability of metals compared with control treatment, whereas pulverous slag (S1) was more effective than granular slag (S2 and S3). The acid - extractable fraction of Cd in the spiked soil was significantly decreased with application of S1 at rates of 1 and 3 %, acid-extractable fractions of Cu and Zn were decreased when treated at 3 %. Use of S1 at both rates resulted in significantly lower Cd, Cu, and Zn concentrations in rice tissues than in controls by 82.6-92.9, 88.4-95.6, and 67.4-81.4 %, respectively. However, use of pulverous slag at 1 % significantly promotes rice growth, restricted rice growth when treated at 3 %. Thus, the results explained that reduced particle size and suitable application rate of slag could be beneficial to rice growth and metals stabilization.
27614652	0	7	In situ	T082	C0444498
27614652	8	21	stabilization	T080	C0205360
27614652	25	37	heavy metals	T196	C0347988
27614652	51	56	metal	T197	C0025552
27614652	57	69	contaminated	T169	C0205279
27614652	70	75	paddy	T002	C1083174
27614652	76	80	soil	T167	C0037592
27614652	97	102	steel	T122,T197	C0038239
27614652	103	107	slag	T197	C0885779
27614652	115	122	silicon	T196	C0037107
27614652	123	133	fertilizer	T073,T131	C0015919
27614652	134	139	Steel	T122,T197	C0038239
27614652	140	144	slag	T197	C0885779
27614652	183	190	silicon	T196	C0037107
27614652	191	201	fertilizer	T073,T131	C0015919
27614652	219	227	mobility	T033	C0425245
27614652	232	247	bioavailability	T081	C0005508
27614652	251	263	heavy metals	T196	C0347988
27614652	267	271	soil	T167	C0037592
27614652	277	286	objective	T170	C0018017
27614652	295	300	study	T062	C2603343
27614652	308	316	evaluate	T058	C0220825
27614652	321	330	influence	T077	C4054723
27614652	334	347	particle size	T081	C0030608
27614652	349	360	composition	T070	C0243176
27614652	386	390	slag	T197	C0885779
27614652	394	399	metal	T197	C0025552
27614652	400	414	immobilization	T169	C0205245
27614652	418	424	acidic	T103	C0001128
27614652	425	429	soil	T167	C0037592
27614652	431	437	metals	T197	C0025552
27614652	438	444	uptake	T039	C0243144
27614652	448	452	rice	T002	C1140671
27614652	457	461	rice	T002	C1140671
27614652	462	468	growth	T039	C0220844
27614652	512	516	slag	T197	C0885779
27614652	527	531	soil	T167	C0037592
27614652	532	534	pH	T081	C0020283
27614652	536	541	plant	T002	C0032098
27614652	553	560	silicon	T196	C0037107
27614652	561	575	concentrations	T081	C1446561
27614652	579	583	soil	T167	C0037592
27614652	589	598	decreased	T081	C0205216
27614652	603	618	bioavailability	T081	C0005508
27614652	622	628	metals	T197	C0025552
27614652	643	660	control treatment	T080	C0243148
27614652	670	684	pulverous slag	T197	C0885779
27614652	686	688	S1	T197	C0885779
27614652	694	708	more effective	T080	C1704419
27614652	714	722	granular	T080	C0205248
27614652	723	727	slag	T197	C0885779
27614652	745	749	acid	T103	C0001128
27614652	752	775	extractable fraction of	T081	C1264633
27614652	776	778	Cd	T131,T196	C0006632
27614652	793	797	soil	T167	C0037592
27614652	816	825	decreased	T081	C0205216
27614652	846	848	S1	T197	C0885779
27614652	902	904	Cu	T121,T123,T196	C0009968
27614652	909	911	Zn	T121,T123,T196	C0043481
27614652	917	926	decreased	T081	C0205216
27614652	932	939	treated	T169	C1522326
27614652	955	957	S1	T197	C0885779
27614652	984	1003	significantly lower	T081	C4055638
27614652	1004	1006	Cd	T131,T196	C0006632
27614652	1008	1010	Cu	T121,T123,T196	C0009968
27614652	1016	1018	Zn	T121,T123,T196	C0043481
27614652	1019	1033	concentrations	T081	C1446561
27614652	1037	1041	rice	T002	C1140671
27614652	1042	1049	tissues	T025	C1514137
27614652	1058	1066	controls	T096	C0009932
27614652	1139	1153	pulverous slag	T197	C0885779
27614652	1175	1183	promotes	T052	C0033414
27614652	1184	1188	rice	T002	C1140671
27614652	1189	1195	growth	T039	C0220844
27614652	1208	1212	rice	T002	C1140671
27614652	1213	1219	growth	T039	C0220844
27614652	1225	1232	treated	T169	C1522326
27614652	1274	1281	reduced	T080	C0392756
27614652	1282	1295	particle size	T081	C0030608
27614652	1329	1333	slag	T197	C0885779
27614652	1357	1361	rice	T002	C1140671
27614652	1362	1368	growth	T039	C0220844
27614652	1373	1379	metals	T197	C0025552
27614652	1380	1393	stabilization	T080	C0205360
