27403338|t|Evaluation of Choroidal Thickness in Patients with Pseudoexfoliation Syndrome and Pseudoexfoliation Glaucoma
27403338|a|Purpose. To compare the macular and peripapillary choroidal thickness in eyes with pseudoexfoliation (PEX) syndrome and PEX glaucoma with the normal eyes of healthy controls. Materials and Methods. In this prospective study, 30 eyes of 30 patients with PEX syndrome, 28 eyes of 28 patients with PEX glaucoma, and 30 eyes of 30 age -matched healthy subjects were enrolled. Choroidal thicknesses in the macular and peripapillary areas were measured by using spectral domain optical coherence tomography. Results. Gender, age, and axial length did not significantly differ between the groups (all, p > 0.05). The mean values of choroidal thickness in the macular and peripapillary areas (except the superior quadrant) in the patients with PEX syndrome and PEX glaucoma were lower compared with controls (all p < 0.05). The mean values of the macular and peripapillary choroidal thickness in the PEX glaucoma group were lower compared with PEX syndrome group; however this difference was not significant. Conclusions. The findings of this study revealed that macular and peripapillary choroidal thicknesses were decreased in PEX syndrome and PEX glaucoma cases. The role of choroid in the development of glaucomatous damage in patients with PEX syndrome remains unclear.
27403338	0	10	Evaluation	T058	C0220825
27403338	14	23	Choroidal	T023	C0008520
27403338	24	33	Thickness	T080	C1280412
27403338	37	45	Patients	T101	C0030705
27403338	51	77	Pseudoexfoliation Syndrome	T047	C0206368
27403338	82	108	Pseudoexfoliation Glaucoma	T047	C0206368
27403338	109	116	Purpose	T169	C1285529
27403338	121	128	compare	T052	C1707455
27403338	133	140	macular	T082	C0332574
27403338	145	158	peripapillary	T082	C0442163
27403338	159	168	choroidal	T023	C0008520
27403338	169	178	thickness	T080	C1280412
27403338	182	186	eyes	T023	C0015392
27403338	192	224	pseudoexfoliation (PEX) syndrome	T047	C0206368
27403338	229	241	PEX glaucoma	T047	C0206368
27403338	251	257	normal	T080	C0205307
27403338	258	262	eyes	T023	C0015392
27403338	266	273	healthy	T080	C3898900
27403338	274	282	controls	T096	C0009932
27403338	315	332	prospective study	T062	C0033522
27403338	337	341	eyes	T023	C0015392
27403338	348	356	patients	T101	C0030705
27403338	362	374	PEX syndrome	T047	C0206368
27403338	379	383	eyes	T023	C0015392
27403338	390	398	patients	T101	C0030705
27403338	404	416	PEX glaucoma	T047	C0206368
27403338	425	429	eyes	T023	C0015392
27403338	436	439	age	T032	C0001779
27403338	449	456	healthy	T080	C3898900
27403338	457	465	subjects	T096	C0681850
27403338	481	490	Choroidal	T023	C0008520
27403338	491	502	thicknesses	T080	C1280412
27403338	510	517	macular	T082	C0332574
27403338	522	535	peripapillary	T082	C0442163
27403338	536	541	areas	T082	C0205146
27403338	547	555	measured	T080	C0444706
27403338	565	609	spectral domain optical coherence tomography	T074	C3876157
27403338	620	626	Gender	T032	C0079399
27403338	628	631	age	T032	C0001779
27403338	637	649	axial length	T081	C2936396
27403338	654	671	not significantly	T033	C1273937
27403338	691	697	groups	UnknownType	C0681860
27403338	719	730	mean values	T081	C0444504
27403338	734	743	choroidal	T023	C0008520
27403338	744	753	thickness	T080	C1280412
27403338	761	768	macular	T082	C0332574
27403338	773	786	peripapillary	T082	C0442163
27403338	787	792	areas	T082	C0205146
27403338	794	800	except	T169	C0332300
27403338	805	813	superior	T082	C1282910
27403338	814	822	quadrant	T082	C1631280
27403338	831	839	patients	T101	C0030705
27403338	845	857	PEX syndrome	T047	C0206368
27403338	862	874	PEX glaucoma	T047	C0206368
27403338	880	885	lower	T052	C2003888
27403338	886	894	compared	T052	C1707455
27403338	900	908	controls	T096	C0009932
27403338	929	940	mean values	T081	C0444504
27403338	948	955	macular	T082	C0332574
27403338	960	973	peripapillary	T082	C0442163
27403338	974	983	choroidal	T023	C0008520
27403338	984	993	thickness	T080	C1280412
27403338	1001	1013	PEX glaucoma	T047	C0206368
27403338	1014	1019	group	UnknownType	C0681860
27403338	1025	1030	lower	T052	C2003888
27403338	1031	1039	compared	T052	C1707455
27403338	1045	1057	PEX syndrome	T047	C0206368
27403338	1058	1063	group	UnknownType	C0681860
27403338	1078	1088	difference	T080	C1705242
27403338	1093	1108	not significant	T033	C1273937
27403338	1127	1135	findings	T033	C0243095
27403338	1144	1149	study	T062	C2603343
27403338	1150	1158	revealed	T080	C0443289
27403338	1164	1171	macular	T082	C0332574
27403338	1176	1189	peripapillary	T082	C0442163
27403338	1190	1199	choroidal	T023	C0008520
27403338	1200	1211	thicknesses	T080	C1280412
27403338	1217	1226	decreased	T081	C0205216
27403338	1230	1242	PEX syndrome	T047	C0206368
27403338	1247	1259	PEX glaucoma	T047	C0206368
27403338	1260	1265	cases	T169	C0868928
27403338	1279	1286	choroid	T023	C0008520
27403338	1294	1305	development	T169	C1527148
27403338	1309	1321	glaucomatous	T047	C0017601
27403338	1322	1328	damage	T169	C1883709
27403338	1332	1340	patients	T101	C0030705
27403338	1346	1358	PEX syndrome	T047	C0206368
27403338	1367	1374	unclear	T033	C3845108
