28159418|t|The role of p62 / SQSTM1 in sporadic inclusion body myositis
28159418|a|We examined selective autophagy against ubiquitinated protein aggregates in sporadic inclusion body myositis (s-IBM) patients. The form of autophagy requires phosphorylation of serine 403 in p62 / SQSTM1 to bind to Lys63 -linked ubiquitin and the binding of the p62 - ubiquitinated protein conjugates to LC3. In muscle biopsy specimens from 16 s-IBM patients, we compared the distribution of p62 (aa120-440) with 1) Ser403 - phosphorylated p62 (S403 - p p62), 2) Lys63 -linked ubiquitin and 3) LC3 in double-colour immunofluorescence microscopy. S403 - p p62, Lys63 -linked ubiquitin and LC3 colocalised with p62 aggregates, 79.05% ± 13.64% (mean ± SD), 66.54% ± 19.91% and 51.84% ± 14.1%, respectively. Although positive deposits of S403 - p p62 and Lys63 -linked ubiquitin were always observed within p62 aggregates, LC3 often showed dissociated distribution from p62. We also found fibres containing small, numerous p62 - positive dots that were negative for all three markers and were also observed in myositis controls. The results indicate that p62, Lys63 -linked ubiquitin and LC3 in s-IBM join to perform selective autophagy. p62 could be induced by some cellular stresses in all types of myositis; however, in s-IBM, compromised binding of the p62 - ubiquitinated protein complex to LC3 could stop the autophagy process in its initial stages, which causes the formation of aggregates of p62 - oligomers with Lys63 - ubiquitinated proteins.
28159418	4	8	role	T077	C1705810
28159418	12	15	p62	T116	C0134965
28159418	18	24	SQSTM1	T116,T123	C1137054
28159418	28	60	sporadic inclusion body myositis	T047	C0751713
28159418	83	92	autophagy	T043	C0004391
28159418	101	122	ubiquitinated protein	T116	C1956096
28159418	123	133	aggregates	T080	C0205418
28159418	137	169	sporadic inclusion body myositis	T047	C0751713
28159418	171	176	s-IBM	T047	C0751713
28159418	178	186	patients	T101	C0030705
28159418	200	209	autophagy	T043	C0004391
28159418	219	234	phosphorylation	T044	C0031715
28159418	238	248	serine 403	T116,T121,T123	C0036720
28159418	252	255	p62	T116	C0134965
28159418	258	264	SQSTM1	T116,T123	C1137054
28159418	268	272	bind	T044	C1167622
28159418	276	281	Lys63	T116,T121,T123	C0024337
28159418	290	299	ubiquitin	T116,T123	C0041538
28159418	308	315	binding	T044	C1167622
28159418	323	326	p62	T116	C0134965
28159418	329	350	ubiquitinated protein	T116	C1956096
28159418	365	368	LC3	T116,T123	C1144120
28159418	373	396	muscle biopsy specimens	T024	C0587033
28159418	405	410	s-IBM	T047	C0751713
28159418	411	419	patients	T101	C0030705
28159418	437	449	distribution	T169	C1704711
28159418	453	456	p62	T116	C0134965
28159418	458	467	aa120-440	T087	C0002518
28159418	477	483	Ser403	T116,T121,T123	C0036720
28159418	486	500	phosphorylated	T116	C1519061
28159418	501	504	p62	T116	C0134965
28159418	506	510	S403	T116,T121,T123	C0036720
28159418	513	514	p	T116	C1519061
28159418	515	518	p62	T116	C0134965
28159418	524	529	Lys63	T116,T121,T123	C0024337
28159418	538	547	ubiquitin	T116,T123	C0041538
28159418	555	558	LC3	T116,T123	C1144120
28159418	562	605	double-colour immunofluorescence microscopy	T059	C0079604
28159418	607	611	S403	T116,T121,T123	C0036720
28159418	614	615	p	T116	C1519061
28159418	616	619	p62	T116	C0134965
28159418	621	626	Lys63	T116,T121,T123	C0024337
28159418	635	644	ubiquitin	T116,T123	C0041538
28159418	649	652	LC3	T116,T123	C1144120
28159418	670	673	p62	T116	C0134965
28159418	674	684	aggregates	T080	C0205418
28159418	703	707	mean	T081	C0444504
28159418	710	712	SD	T081	C0871420
28159418	774	782	positive	T033	C1446409
28159418	783	791	deposits	T169	C0333562
28159418	795	799	S403	T116,T121,T123	C0036720
28159418	802	803	p	T116	C1519061
28159418	804	807	p62	T116	C0134965
28159418	812	817	Lys63	T116,T121,T123	C0024337
28159418	826	835	ubiquitin	T116,T123	C0041538
28159418	848	856	observed	T169	C1441672
28159418	864	867	p62	T116	C0134965
28159418	868	878	aggregates	T080	C0205418
28159418	880	883	LC3	T116,T123	C1144120
28159418	909	921	distribution	T169	C1704711
28159418	927	930	p62	T116	C0134965
28159418	946	952	fibres	T024	C1304649
28159418	964	969	small	T081	C0700321
28159418	971	979	numerous	T081	C0439064
28159418	980	983	p62	T116	C0134965
28159418	986	994	positive	T033	C1446409
28159418	1010	1018	negative	T033	C0205160
28159418	1033	1040	markers	T201	C0005516
28159418	1055	1063	observed	T169	C1441672
28159418	1067	1075	myositis	T047	C0027121
28159418	1076	1084	controls	T096	C0009932
28159418	1090	1097	results	T169	C1274040
28159418	1112	1115	p62	T116	C0134965
28159418	1117	1122	Lys63	T116,T121,T123	C0024337
28159418	1131	1140	ubiquitin	T116,T123	C0041538
28159418	1145	1148	LC3	T116,T123	C1144120
28159418	1152	1157	s-IBM	T047	C0751713
28159418	1166	1173	perform	T169	C0884358
28159418	1184	1193	autophagy	T043	C0004391
28159418	1195	1198	p62	T116	C0134965
28159418	1208	1215	induced	T169	C0205263
28159418	1224	1241	cellular stresses	T049	C1516373
28159418	1258	1266	myositis	T047	C0027121
28159418	1280	1285	s-IBM	T047	C0751713
28159418	1287	1298	compromised	T033	C2945640
28159418	1299	1306	binding	T044	C1167622
28159418	1314	1317	p62	T116	C0134965
28159418	1320	1341	ubiquitinated protein	T116	C1956096
28159418	1342	1349	complex	T104	C1704241
28159418	1353	1356	LC3	T116,T123	C1144120
28159418	1363	1367	stop	T052	C1947925
28159418	1372	1381	autophagy	T043	C0004391
28159418	1382	1389	process	T067	C1522240
28159418	1405	1411	stages	T079	C1306673
28159418	1430	1439	formation	T169	C1522492
28159418	1443	1453	aggregates	T080	C0205418
28159418	1457	1460	p62	T116	C0134965
28159418	1463	1472	oligomers	T087	C0599219
