27664877|t|Evaluating the effectiveness of a mock oral educational program
27664877|a|To obtain board certification, the American Board of Surgery requires graduates of general surgery training programs to pass both the written qualifying examination (QE) and the oral certifying examination (CE). In 2015, the pass rates for the QE and CE were 80% and 77%, respectively. In the 2011-2012 academic year, the University of Wisconsin instituted a mandatory, faculty-led, monthly CE preparation educational program (CE prep) as a supplement to their existing annual mock oral examination. We hypothesized that the implementation of these sessions would improve the first-time pass rate for residents taking the ABS CE at our institution. Secondary outcomes studied were QE pass rate, correlation with American Board of Surgery In-Training Examination (ABSITE) and mock oral examination scores, cost, and type of study materials used, perception of examination difficulty, and applicant preparedness. A sixteen question survey was sent to 57 of 59 residents who attended the University of Wisconsin between the years of 2007 and 2015. Email addresses for two former residents could not be located. De-identified data for the ABSITE and first-time pass rates for the QE and CE examination were retrospectively collected and analyzed along with survey results. Statistical analysis was performed using SPSS version 22 (IBM Corp., Armonk, NY). P values < 0.05 were considered significant. Survey response rate was 77.2%. Of the residents who have attempted the CE, first-time pass rate was 76.0% (19 of 25) before the implementation of the formal CE Prep and 100% (22 of 22) after (P = 0.025). Absolute ABSITE score, and mock oral annual examination grades were significantly improved after the CE Prep was initiated (P values < 0.001 and 0.003, respectively), however, ABSITE percentile was not significantly different (P = 0.415). ABSITE raw score and percentile, as well as mock oral annual examination scores were significantly associated with passing the QE (0.032, 0.027, and 0.020, respectively), whereas mock oral annual examination scores alone were associated with passing the CE (P = 0.001). Survey results showed that residents perceived the CE to be easier than the annual mock oral after the institution of the CE prep course (P = 0.036), however, there was no difference in their perception of preparedness. Overall, applicants felt extremely prepared for the CE (4.70 ± 0.5, Likert scale 1-5). Formal educational programs instituted during residency can improve resident performance on the ABS certifying examination. The institution of a formal, faculty-led monthly CE preparation educational program at the University of Wisconsin has significantly improved the first-time pass rate for the ABS CE. Mock oral annual examination scores were also significantly improved. Furthermore, ABSITE scores correlate with QE pass rates, and mock oral annual examination scores correlate with pass rates for both QE and CE.
27664877	15	28	effectiveness	T080	C1280519
27664877	34	43	mock oral	T082	C0442027
27664877	44	63	educational program	T065	C0150562
27664877	74	93	board certification	T064	C1511232
27664877	99	124	American Board of Surgery	T093	C1708333
27664877	134	143	graduates	T098	C0588053
27664877	147	162	general surgery	T091	C1274039
27664877	163	180	training programs	T065	C0040607
27664877	184	188	pass	T033	C2828386
27664877	198	205	written	T169	C1576874
27664877	206	228	qualifying examination	T065	C0013652
27664877	230	232	QE	T065	C0013652
27664877	242	246	oral	T082	C0442027
27664877	247	269	certifying examination	T065	C0013652
27664877	271	273	CE	T065	C0013652
27664877	289	293	pass	T033	C2828386
27664877	294	299	rates	T081	C1521828
27664877	308	310	QE	T065	C0013652
27664877	315	317	CE	T065	C0013652
27664877	367	375	academic	T092	C1510747
27664877	386	409	University of Wisconsin	T093	C1708333
27664877	423	432	mandatory	T064	C0024684
27664877	434	445	faculty-led	UnknownType	C0682256
27664877	447	454	monthly	T079	C0332177
27664877	455	457	CE	T065	C0013652
27664877	458	469	preparation	T052	C1521827
27664877	470	489	educational program	T065	C0150562
27664877	491	493	CE	T065	C0013652
27664877	494	498	prep	T052	C1521827
27664877	505	515	supplement	T169	C2348609
27664877	534	540	annual	T079	C0332181
27664877	541	550	mock oral	T082	C0442027
27664877	551	562	examination	UnknownType	C0681376
27664877	589	603	implementation	T052	C1708476
27664877	613	621	sessions	T077	C1883017
27664877	628	635	improve	T033	C0184511
27664877	640	650	first-time	T079	C1254367
27664877	651	655	pass	T033	C2828386
27664877	656	660	rate	T081	C1521828
27664877	665	674	residents	UnknownType	C0682286
27664877	686	689	ABS	T093	C1708333
27664877	690	692	CE	T065	C0013652
27664877	700	711	institution	T093	C2607850
27664877	713	739	Secondary outcomes studied	T080	C3274440
27664877	745	747	QE	T065	C0013652
27664877	748	752	pass	T033	C2828386
27664877	753	757	rate	T081	C1521828
27664877	759	770	correlation	T080	C1707520
27664877	776	825	American Board of Surgery In-Training Examination	T170	C0282574
27664877	827	833	ABSITE	T170	C0282574
27664877	839	848	mock oral	T082	C0442027
27664877	849	860	examination	UnknownType	C0681376
27664877	861	867	scores	T081	C0449820
27664877	869	873	cost	T081	C0010186
27664877	887	902	study materials	T075	C2985618
