28368267|t|Contextual Factors for Stunting Among Children of Age 6 to 24 Months in an Under-Privileged Community of Dhaka, Bangladesh
28368267|a|To determine factors associated with stunting among children aged 6 to 24 months in a slum of Dhaka, Bangladesh. We conducted this case control study during November 2009 to December 2012. Children were classified as case if length-for-age Z-score (LAZ) was <-2 and as control if LAZ was >-1 SD. The logistic regression model was used to find the factors associated with stunting. The significant risk factors for stunting were: child's age >12 months, maternal undernutrition, mother's education <5 years, consumption of untreated drinking water and monthly family income <100 USD. The findings of this study reiterated the role of maternal undernutrition and less education, consumption of untreated drinking water and poor family income as important associated factors of childhood stunting in resource-poor setting.
28368267	0	18	Contextual Factors	T041	C0542559
28368267	23	31	Stunting	T046	C0018273
28368267	38	46	Children	T100	C0008059
28368267	50	53	Age	T032	C0001779
28368267	62	68	Months	T079	C0439231
28368267	75	101	Under-Privileged Community	T096	C0009462
28368267	105	110	Dhaka	T083	C0004732
28368267	112	122	Bangladesh	T083	C0004732
28368267	136	143	factors	T169	C1521761
28368267	144	159	associated with	T080	C0332281
28368267	160	168	stunting	T046	C0018273
28368267	175	183	children	T100	C0008059
28368267	184	188	aged	T032	C0001779
28368267	197	203	months	T079	C0439231
28368267	209	213	slum	T080	C0037345
28368267	217	222	Dhaka	T083	C0004732
28368267	224	234	Bangladesh	T083	C0004732
28368267	254	272	case control study	T062	C0007328
28368267	312	320	Children	T100	C0008059
28368267	348	370	length-for-age Z-score	T081	C0871421
28368267	372	375	LAZ	T081	C0871421
28368267	392	399	control	T096	C0009932
28368267	403	406	LAZ	T081	C0871421
28368267	423	448	logistic regression model	UnknownType	C0681925
28368267	470	477	factors	T169	C1521761
28368267	478	493	associated with	T080	C0332281
28368267	494	502	stunting	T046	C0018273
28368267	520	532	risk factors	T033	C0035648
28368267	537	545	stunting	T046	C0018273
28368267	552	559	child's	T100	C0008059
28368267	560	563	age	T032	C0001779
28368267	568	574	months	T079	C0439231
28368267	576	584	maternal	T099	C0026591
28368267	585	599	undernutrition	T047	C0162429
28368267	601	619	mother's education	T033	C2924476
28368267	623	628	years	T079	C0439234
28368267	630	641	consumption	T040	C0684271
28368267	645	669	untreated drinking water	T167	C0599638
28368267	674	681	monthly	T079	C0332177
28368267	682	688	family	T099	C0015576
28368267	689	695	income	T081	C0021162
28368267	701	704	USD	T081	C1555442
28368267	710	718	findings	T033	C0243095
28368267	727	732	study	T062	C0007328
28368267	756	764	maternal	T099	C0026591
28368267	765	779	undernutrition	T047	C0162429
28368267	784	798	less education	T033	C0013658
28368267	800	811	consumption	T040	C0684271
28368267	815	839	untreated drinking water	T167	C0599638
28368267	849	855	family	T099	C0015576
28368267	856	862	income	T081	C0021162
28368267	876	886	associated	T080	C0332281
28368267	887	894	factors	T169	C1521761
28368267	898	907	childhood	T079	C0231335
28368267	908	916	stunting	T046	C0018273
