28203094|t|Mapping circulating serum miRNAs to their immune - related target mRNAs
28203094|a|Evidence suggests that circulating serum microRNAs (miRNAs) might preferentially target immune - related mRNAs. If this were the case, we hypothesized that immune - related mRNAs would have more predicted serum miRNA binding sites than other mRNAs and, reciprocally, that serum miRNAs would have more immune - related mRNA targets than non - serum miRNAs. We developed a consensus target predictor using the random forest framework and calculated the number of predicted miRNA - mRNA interactions in various subsets of miRNAs (serum, non - serum) and mRNAs (immune related, nonimmune related). Immune - related mRNAs were predicted to be targeted by serum miRNA more than other mRNAs. Moreover, serum miRNAs were predicted to target many more immune - related mRNA targets than non - serum miRNAs; however, these two biases in immune - related mRNAs and serum miRNAs appear to be completely independent. Immune - related mRNAs have more miRNA binding sites in general, not just for serum miRNAs; likewise, serum miRNAs target many more mRNAs than non - serum miRNAs overall, regardless of whether they are immune related or not. Nevertheless, these two independent phenomena result in a significantly larger number of predicted serum miRNA - immune mRNA interactions than would be expected by chance.
28203094	0	7	Mapping	T052	C1283195
28203094	8	19	circulating	T169	C0175630
28203094	20	25	serum	T031	C0229671
28203094	26	32	miRNAs	T114,T123	C1101610
28203094	42	48	immune	T169	C0439662
28203094	51	58	related	T080	C0332281
28203094	59	65	target	T169	C1521840
28203094	66	71	mRNAs	T114,T123	C0035696
28203094	72	80	Evidence	T078	C3887511
28203094	81	89	suggests	T078	C1705535
28203094	95	106	circulating	T169	C0175630
28203094	107	112	serum	T031	C0229671
28203094	113	122	microRNAs	T114,T123	C1101610
28203094	124	130	miRNAs	T114,T123	C1101610
28203094	153	159	target	T169	C1521840
28203094	160	166	immune	T169	C0439662
28203094	169	176	related	T080	C0332281
28203094	177	182	mRNAs	T114,T123	C0035696
28203094	228	234	immune	T169	C0439662
28203094	237	244	related	T080	C0332281
28203094	245	250	mRNAs	T114,T123	C0035696
28203094	267	276	predicted	T078	C0681842
28203094	277	282	serum	T031	C0229671
28203094	283	296	miRNA binding	T045	C1523647
28203094	297	302	sites	T082	C0205145
28203094	314	319	mRNAs	T114,T123	C0035696
28203094	325	337	reciprocally	T080	C1882911
28203094	344	349	serum	T031	C0229671
28203094	350	356	miRNAs	T114,T123	C1101610
28203094	373	379	immune	T169	C0439662
28203094	382	389	related	T080	C0332281
28203094	390	394	mRNA	T114,T123	C0035696
28203094	395	402	targets	T169	C1521840
28203094	408	411	non	T169	C1518422
28203094	414	419	serum	T031	C0229671
28203094	420	426	miRNAs	T114,T123	C1101610
28203094	431	440	developed	T169	C1527148
28203094	453	459	target	T169	C1521840
28203094	480	503	random forest framework	T169	C0205245
28203094	508	518	calculated	T169	C0444686
28203094	533	542	predicted	T078	C0681842
28203094	543	548	miRNA	T114,T123	C1101610
28203094	551	555	mRNA	T114,T123	C0035696
28203094	556	568	interactions	T045	C2753463
28203094	580	587	subsets	T185	C1515021
28203094	591	597	miRNAs	T114,T123	C1101610
28203094	599	604	serum	T031	C0229671
28203094	606	609	non	T169	C1518422
28203094	612	617	serum	T031	C0229671
28203094	623	628	mRNAs	T114,T123	C0035696
28203094	630	636	immune	T169	C0439662
28203094	637	644	related	T080	C0332281
28203094	646	663	nonimmune related	T080	C0332281
28203094	666	672	Immune	T169	C0439662
28203094	675	682	related	T080	C0332281
28203094	683	688	mRNAs	T114,T123	C0035696
28203094	694	703	predicted	T078	C0681842
28203094	710	718	targeted	T169	C1521840
28203094	722	727	serum	T031	C0229671
28203094	728	733	miRNA	T114,T123	C1101610
28203094	750	755	mRNAs	T114,T123	C0035696
28203094	767	772	serum	T031	C0229671
28203094	773	779	miRNAs	T114,T123	C1101610
28203094	785	794	predicted	T078	C0681842
28203094	798	804	target	T169	C1521840
28203094	815	821	immune	T169	C0439662
28203094	824	831	related	T080	C0332281
28203094	832	836	mRNA	T114,T123	C0035696
28203094	837	844	targets	T169	C1521840
28203094	850	853	non	T169	C1518422
28203094	856	861	serum	T031	C0229671
28203094	862	868	miRNAs	T114,T123	C1101610
28203094	889	895	biases	T078	C0242568
28203094	899	905	immune	T169	C0439662
28203094	908	915	related	T080	C0332281
28203094	916	921	mRNAs	T114,T123	C0035696
28203094	926	931	serum	T031	C0229671
28203094	932	938	miRNAs	T114,T123	C1101610
28203094	952	962	completely	T080	C0205197
28203094	963	974	independent	T078	C0085862
28203094	976	982	Immune	T169	C0439662
28203094	985	992	related	T080	C0332281
28203094	993	998	mRNAs	T114,T123	C0035696
28203094	1009	1022	miRNA binding	T045	C1523647
28203094	1023	1028	sites	T082	C0205145
28203094	1054	1059	serum	T031	C0229671
28203094	1060	1066	miRNAs	T114,T123	C1101610
28203094	1078	1083	serum	T031	C0229671
28203094	1084	1090	miRNAs	T114,T123	C1101610
28203094	1091	1097	target	T169	C1521840
28203094	1108	1113	mRNAs	T114,T123	C0035696
28203094	1119	1122	non	T169	C1518422
28203094	1125	1130	serum	T031	C0229671
28203094	1131	1137	miRNAs	T114,T123	C1101610
28203094	1147	1157	regardless	T080	C3641650
28203094	1178	1184	immune	T169	C0439662
28203094	1185	1192	related	T080	C0332281
28203094	1225	1236	independent	T078	C0085862
28203094	1237	1246	phenomena	T067	C1882365
28203094	1247	1253	result	T169	C1274040
28203094	1290	1299	predicted	T078	C0681842
28203094	1300	1305	serum	T031	C0229671
28203094	1306	1311	miRNA	T114,T123	C1101610
28203094	1314	1320	immune	T169	C0439662
28203094	1321	1325	mRNA	T114,T123	C0035696
28203094	1326	1338	interactions	T045	C2753463
