28196438|t|Patient Factors Associated With Higher Expectations From Foot and Ankle Surgery
28196438|a|Few authors have investigated patients' expectations from foot and ankle surgery. In this study, we aimed to examine relationships between patients' preoperative expectations and their demographic and clinical characteristics. We hypothesized that patients with more disability and those with anxiety or depressive symptoms would have greater expectations. All adult patients scheduled for elective foot or ankle surgery by 1 of 6 orthopaedic foot and ankle surgeons were screened for inclusion over 8 months. Preoperatively, all patients completed the Hospital for Special Surgery Foot & Ankle Surgery Expectations Survey in addition to the Foot & Ankle Outcome Score (FAOS), Short Form (SF)-12, Patient Health Questionnaire (PHQ)-8, Generalized Anxiety Disorder 7-item scale (GAD-7), and pain visual analog scale (VAS). The expectations survey contained 23 expectations categories, each with 5 answer choices ranging from "I do not have this expectation " to " complete improvement " expected. It was scored from 0 to 100, with higher scores indicating more expectations. Differences in expectations relating to numerous patient demographic and clinical variables were assessed. In total, 352 patients with an average age of 55 ± 15 (range, 18-86) years were enrolled. Expectations scores were not related to age (P = .36). On average, women expected to achieve complete improvement more often than men (P = .011). Variables that were significantly associated with higher expectations scores (P < .05) included nonwhite race, use of a cane or other assistive device, and greater medical comorbidity. Worse function and quality of life (as assessed by all FAOS subscales and the SF-12 physical and mental components), more depressive and anxiety symptoms, and higher pain VAS scores were associated with higher expectations scores and more expectations (P < .01 for all). The results of this study may help inform surgeons ' preoperative discussions with their patients regarding realistic expectations from surgery. Generally, patients with worse function and more disability had higher expectations from surgery. Addressing these patients' expectations preoperatively may help improve their ultimate satisfaction with surgery. Level II, cross sectional study.
28196438	0	15	Patient Factors	UnknownType	C0679854
28196438	16	31	Associated With	T080	C0332281
28196438	32	38	Higher	T080	C0205250
28196438	39	51	Expectations	T078	C0679138
28196438	57	61	Foot	T061	C0188413
28196438	66	79	Ankle Surgery	T061	C0188412
28196438	84	91	authors	T097	C3812881
28196438	110	119	patients'	T101	C0030705
28196438	120	132	expectations	T078	C0679138
28196438	138	142	foot	T061	C0188413
28196438	147	160	ankle surgery	T061	C0188412
28196438	170	175	study	T062	C2603343
28196438	197	210	relationships	T080	C0439849
28196438	219	228	patients'	T101	C0030705
28196438	229	241	preoperative	T079	C0445204
28196438	242	254	expectations	T078	C0679138
28196438	265	276	demographic	T102	C0683970
28196438	281	305	clinical characteristics	T201	C0683325
28196438	328	336	patients	T101	C0030705
28196438	347	357	disability	T033	C0231170
28196438	373	380	anxiety	T033	C0860603
28196438	384	403	depressive symptoms	T184	C0086132
28196438	415	422	greater	T081	C1704243
28196438	423	435	expectations	T078	C0679138
28196438	441	446	adult	T100	C0001675
28196438	447	455	patients	T101	C0030705
28196438	479	483	foot	T061	C0188413
28196438	487	500	ankle surgery	T061	C0188412
28196438	511	546	orthopaedic foot and ankle surgeons	T097	C0582175
28196438	565	574	inclusion	T080	C1512693
28196438	582	588	months	T079	C0439231
28196438	590	604	Preoperatively	T079	C0445204
28196438	610	618	patients	T101	C0030705
28196438	633	702	Hospital for Special Surgery Foot & Ankle Surgery Expectations Survey	T170	C0038951
28196438	722	748	Foot & Ankle Outcome Score	T081	C0449820
28196438	750	754	FAOS	T081	C0449820
28196438	757	775	Short Form (SF)-12	T170	C0038951
